戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_期待値pips/回,学習_総利益pips,学習_総損失pips,学習_平均利益pips,学習_平均損失pips,学習_損益比,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_期待値pips/回,検証_総利益pips,検証_総損失pips,検証_平均利益pips,検証_平均損失pips,検証_損益比,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"MACDクロス(12,26,12)",MACDクロス,20,30,東京(9-15時),全曜日,下降のみ,ATR高,313,1.4,62.6,382.6,1.222,3854.0,3471.4,19.66,-29.67,0.663,1.11,-270.0,4,145,1.4,65.5,389.2,2.684,1874.8,1485.6,19.73,-29.71,0.664,1.262,-190.0,3,1.137,68.6,採用候補
"RSI逆張り(期間14, 30/65)",RSI逆張り,5,30,全時間,金,下降のみ,なし,421,2.9,86.2,142.9,0.339,1811.7,1668.8,4.99,-28.77,0.173,1.086,-211.5,3,127,2.4,87.4,75.0,0.591,555.0,480.0,5.0,-30.0,0.167,1.156,-105.0,2,1.064,68.2,採用候補
"MACDクロス(16,35,6)",MACDクロス,15,15,東京(9-15時),全曜日,順方向のみ,ATR低,421,1.1,51.8,228.0,0.542,3203.2,2975.2,14.69,-14.66,1.003,1.077,-336.1,7,140,1.2,54.3,177.4,1.267,1126.1,948.7,14.82,-14.82,1.0,1.187,-90.0,4,1.102,68.2,採用候補
"EMAクロス(15,75)",EMAクロス,15,15,全時間,木,なし,直近30分変動大,460,2.7,51.7,240.5,0.523,3525.2,3284.7,14.81,-14.8,1.001,1.073,-171.3,8,195,2.7,54.9,292.2,1.498,1595.3,1303.1,14.91,-14.81,1.007,1.224,-105.0,5,1.141,68.0,採用候補
"MACDクロス(12,21,12)",MACDクロス,30,20,東京(9-15時),火,なし,なし,380,1.8,45.3,902.6,2.375,4930.2,4027.6,28.66,-19.36,1.48,1.224,-236.0,8,158,2.0,46.8,553.5,3.503,2209.4,1655.9,29.86,-19.71,1.515,1.334,-140.0,5,1.09,67.6,採用候補
"MACDクロス(12,21,12)",MACDクロス,12,25,東京(9-15時),全曜日,下降のみ,ATR高,363,1.6,69.4,249.0,0.686,3024.0,2775.0,12.0,-25.0,0.48,1.09,-204.0,4,161,1.6,71.4,220.0,1.366,1370.0,1150.0,11.91,-25.0,0.477,1.191,-177.0,3,1.093,67.3,採用候補
"BBブレイク(期間20, 2.0σ)",BBブレイク,10,15,ロンドン(16-21時),全曜日,上昇のみ,ATR高,417,1.6,61.9,213.9,0.513,2573.2,2359.3,9.97,-14.84,0.672,1.091,-202.9,7,123,1.6,65.0,177.5,1.443,795.1,617.6,9.94,-14.36,0.692,1.287,-145.0,5,1.18,67.2,採用候補
"MACDクロス(16,21,6)",MACDクロス,25,30,東京(9-15時),火,なし,なし,356,1.7,55.9,389.7,1.095,4819.8,4430.1,24.22,-28.22,0.858,1.088,-432.8,7,148,1.9,59.5,515.5,3.483,2184.0,1668.5,24.82,-27.81,0.892,1.309,-206.1,5,1.203,67.2,採用候補
"RSI逆張り(期間7, 25/60)",RSI逆張り,8,15,全時間,金,順方向のみ,直近30分変動大,309,2.2,67.6,172.0,0.557,1672.0,1500.0,8.0,-15.0,0.533,1.115,-138.0,5,136,2.2,68.4,116.1,0.854,744.0,627.9,8.0,-14.6,0.548,1.185,-128.0,3,1.063,67.1,採用候補
"BB逆張り(期間14, 2.0σ)",BB逆張り,15,30,9時台,全曜日,レンジのみ,なし,348,1.0,67.8,319.1,0.917,3451.2,3132.1,14.62,-27.97,0.523,1.102,-209.8,4,118,1.0,71.2,286.2,2.425,1249.8,963.6,14.88,-28.34,0.525,1.297,-165.0,5,1.177,67.1,採用候補
