戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"RSI逆張り(期間10, 20/60)",RSI逆張り,25,10,9時台,全曜日,上昇のみ,なし,354,1.1,29.9,132.1,24.48,-9.93,1.054,-213.8,12,129,1.1,34.1,235.2,24.66,-10.0,1.277,-100.0,10,1.212,67.1,採用候補
"MACDクロス(8,35,9)",MACDクロス,10,20,東京(9-15時),全曜日,下降のみ,ATR高,425,1.9,69.2,320.0,10.0,-20.0,1.122,-180.0,3,187,1.9,70.6,214.4,9.96,-20.0,1.195,-190.0,3,1.065,67.0,採用候補
"BBブレイク(期間30, 1.5σ)",BBブレイク,15,5,全時間,月,なし,ATR低,590,3.5,27.1,192.7,14.61,-4.99,1.09,-150.2,15,200,3.4,29.0,143.7,14.72,-5.0,1.202,-65.0,13,1.103,67.0,採用候補
"BBブレイク(期間20, 1.5σ)",BBブレイク,25,30,全時間,木,順方向のみ,ATR高,489,2.6,58.1,1018.4,23.15,-27.1,1.183,-314.2,6,159,2.6,59.1,486.6,24.57,-28.05,1.267,-189.2,4,1.071,66.9,採用候補
"BBブレイク(期間14, 2.5σ)",BBブレイク,20,30,全時間,木,順方向のみ,直近30分変動大,358,2.1,62.6,534.3,19.09,-27.92,1.143,-281.8,5,142,2.2,63.4,320.5,19.56,-27.68,1.223,-152.4,4,1.07,66.9,採用候補
"MACDクロス(16,35,9)",MACDクロス,10,5,ロンドン(16-21時),全曜日,なし,ATR低,485,1.8,37.1,226.7,9.73,-5.0,1.149,-135.0,9,207,1.6,37.2,115.9,9.95,-5.0,1.178,-55.0,9,1.025,66.8,採用候補
"MACDクロス(16,35,6)",MACDクロス,10,5,東京(9-15時),全曜日,順方向のみ,ATR低,490,1.3,36.7,247.2,9.98,-5.0,1.159,-90.0,12,166,1.4,36.7,85.0,10.0,-5.0,1.162,-45.0,9,1.003,66.6,採用候補
"BBブレイク(期間14, 1.5σ)",BBブレイク,30,30,東京(9-15時),全曜日,下降のみ,なし,787,1.4,52.9,1286.0,27.91,-27.83,1.125,-558.9,6,335,1.6,55.2,1147.5,29.13,-28.28,1.271,-240.0,5,1.13,66.5,採用候補
"BBブレイク(期間14, 1.5σ)",BBブレイク,30,15,全時間,木,順方向のみ,ATR高,570,3.0,36.7,485.2,27.88,-14.8,1.091,-466.6,15,184,2.9,38.0,379.1,29.25,-14.64,1.227,-135.0,6,1.125,66.5,採用候補
"BBブレイク(期間20, 2.0σ)",BBブレイク,20,8,ロンドン(16-21時),金,なし,なし,492,2.4,30.3,180.5,19.55,-7.97,1.066,-314.6,13,186,2.4,33.3,223.1,19.6,-8.0,1.225,-104.0,9,1.149,66.4,採用候補
