戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"RSI逆張り(期間7, 35/60)",RSI逆張り,6,15,東京(9-15時),全曜日,下降のみ,なし,1698,3.1,70.2,-428.6,6.0,-14.98,0.943,-468.1,4,761,3.7,66.8,-747.0,6.0,-15.0,0.803,-765.0,6,0.852,29.2,不採用
"BB逆張り(期間14, 2.0σ)",BB逆張り,25,15,全時間,全曜日,順方向のみ,ATR高,1308,1.9,38.1,-404.0,22.76,-14.54,0.966,-694.7,9,419,1.7,34.1,-587.6,24.14,-14.64,0.855,-654.5,13,0.885,29.2,不採用
"RSI逆張り(期間21, 30/75)",RSI逆張り,5,15,東京(9-15時),全曜日,なし,直近30分変動大,381,1.4,76.6,125.0,5.0,-15.0,1.094,-135.0,4,133,1.3,67.7,-195.0,5.0,-15.0,0.698,-210.0,3,0.638,29.2,不採用
押し目(EMA200+RSI40/60),押し目,25,10,全時間,金,なし,なし,834,4.0,28.5,-171.8,24.13,-9.92,0.971,-671.7,28,320,4.1,26.2,-362.4,23.6,-9.93,0.845,-415.5,14,0.87,29.2,不採用
"BB逆張り(期間30, 1.5σ)",BB逆張り,25,15,東京(9-15時),全曜日,レンジのみ,ATR高,354,1.5,35.0,-400.2,24.49,-14.95,0.884,-640.0,9,146,1.4,33.6,-248.7,24.62,-15.0,0.829,-450.0,20,0.938,29.2,不採用
"MACDクロス(16,21,9)",MACDクロス,20,10,全時間,木,なし,直近30分変動大,1166,5.9,32.2,-516.5,19.67,-9.98,0.935,-717.3,19,529,7.1,29.9,-560.4,19.9,-9.98,0.849,-800.4,15,0.908,29.2,不採用
"BBブレイク(期間30, 1.5σ)",BBブレイク,4,10,全時間,火,なし,直近30分変動大,1665,8.2,66.2,-1222.0,4.0,-10.0,0.783,-1284.0,7,841,10.8,65.9,-654.0,4.0,-10.0,0.772,-674.0,8,0.986,29.2,不採用
"MACDクロス(16,21,6)",MACDクロス,6,15,全時間,月,なし,ATR低,485,3.0,64.9,-623.6,5.97,-14.72,0.751,-741.5,5,174,3.0,63.2,-258.4,6.0,-14.35,0.719,-299.4,6,0.957,29.2,不採用
"MACDクロス(8,21,9)",MACDクロス,4,20,全時間,金,順方向のみ,直近30分変動大,497,3.0,82.1,-127.8,4.0,-19.77,0.927,-236.0,2,226,3.1,78.3,-272.0,4.0,-20.0,0.722,-268.0,4,0.779,29.2,不採用
"MACDクロス(12,35,9)",MACDクロス,4,15,全時間,月,なし,直近30分変動大,873,4.8,75.4,-582.9,4.0,-14.94,0.819,-639.9,5,461,6.0,73.5,-466.8,4.0,-14.94,0.744,-479.8,5,0.908,29.2,不採用
