戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"RSI逆張り(期間10, 30/70)",RSI逆張り,5,15,10時台,全曜日,なし,ATR高,317,1.2,73.5,-95.0,5.0,-15.0,0.925,-180.0,4,131,1.2,82.4,195.0,5.0,-15.0,1.565,-50.0,1,1.5,82.0,要注意
"EMAクロス(20,150)",EMAクロス,5,30,東京(9-15時),全曜日,なし,直近30分変動大,402,1.2,84.3,-184.1,5.0,-29.83,0.902,-259.1,4,171,1.2,90.1,265.7,5.0,-29.66,1.527,-60.0,1,1.5,81.5,要注意
"MACDクロス(16,26,12)",MACDクロス,4,12,ロンドン(16-21時),全曜日,なし,ATR低,418,1.6,70.1,-306.7,4.0,-11.83,0.793,-326.7,5,181,1.5,82.3,226.0,4.0,-11.56,1.611,-36.0,3,1.5,80.7,要注意
"EMAクロス(3,75)",EMAクロス,5,15,東京(9-15時),月,なし,なし,321,1.8,70.1,-318.7,4.98,-15.0,0.779,-358.7,3,125,2.0,83.2,205.0,5.0,-15.0,1.651,-45.0,3,1.5,79.5,要注意
"BB逆張り(期間30, 1.5σ)",BB逆張り,4,30,東京(9-15時),全曜日,レンジのみ,直近30分変動大,322,1.4,88.8,64.0,4.0,-30.0,1.059,-174.0,3,152,1.3,92.1,200.0,4.0,-30.0,1.556,-66.0,1,1.469,79.0,採用候補
"MACDクロス(8,35,12)",MACDクロス,6,20,全時間,木,上昇のみ,ATR高,368,2.7,72.8,-345.6,6.0,-19.54,0.823,-453.3,4,111,2.5,81.1,134.9,6.0,-19.29,1.333,-48.0,2,1.5,78.7,要注意
"BBブレイク(期間30, 2.0σ)",BBブレイク,10,10,全時間,木,下降のみ,ATR高,399,3.4,47.6,-173.1,10.0,-9.92,0.917,-290.0,10,119,3.1,61.3,270.0,10.0,-10.0,1.587,-40.0,4,1.5,78.6,要注意
"MACDクロス(8,26,12)",MACDクロス,10,8,ロンドン(16-21時),月,なし,ATR高,315,2.9,43.2,-65.7,10.0,-7.96,0.954,-162.0,8,100,2.6,55.0,190.0,10.0,-8.0,1.528,-36.0,4,1.5,78.4,要注意
押し目(EMA200+RSI45/55),押し目,6,12,全時間,月,レンジのみ,なし,553,2.9,62.7,-370.0,5.98,-11.87,0.849,-484.0,6,213,3.0,73.2,252.0,6.0,-12.0,1.368,-48.0,3,1.5,78.4,要注意
"BB逆張り(期間25, 1.5σ)",BB逆張り,8,5,全時間,水,レンジのみ,ATR低,398,2.7,35.4,-157.0,8.0,-5.0,0.878,-262.0,14,149,2.6,48.3,191.0,8.0,-5.0,1.496,-32.0,5,1.5,78.0,要注意
"BBブレイク(期間20, 1.5σ)",BBブレイク,8,5,東京(9-15時),全曜日,下降のみ,ATR低,438,1.7,35.8,-149.0,8.0,-5.0,0.894,-210.0,12,112,1.6,50.0,168.0,8.0,-5.0,1.6,-30.0,6,1.5,78.0,要注意
"BB逆張り(期間20, 1.5σ)",BB逆張り,12,12,東京(9-15時),金,なし,ATR高,340,2.9,46.2,-312.0,12.0,-12.0,0.858,-468.0,8,108,2.5,58.3,212.8,11.95,-12.0,1.394,-48.0,3,1.5,77.9,要注意
"BB逆張り(期間30, 2.5σ)",BB逆張り,6,8,全時間,全曜日,順方向のみ,なし,1003,1.4,54.5,-356.7,5.98,-7.95,0.902,-500.9,8,329,1.4,64.7,348.9,5.98,-7.97,1.378,-48.0,4,1.5,77.6,要注意
"BBブレイク(期間14, 1.5σ)",BBブレイク,4,15,東京(9-15時),木,順方向のみ,なし,524,2.9,76.1,-266.7,4.0,-14.9,0.857,-358.7,3,215,2.9,83.7,195.0,4.0,-15.0,1.371,-81.0,2,1.5,77.4,要注意
押し目(EMA200+RSI45/55),押し目,5,15,全時間,火,なし,ATR低,334,1.9,73.1,-130.0,5.0,-15.0,0.904,-270.0,4,121,2.1,80.2,125.0,5.0,-15.0,1.347,-45.0,2,1.49,77.3,要注意
"RSI逆張り(期間14, 35/65)",RSI逆張り,5,30,10時台,全曜日,なし,ATR高,310,1.1,82.9,-305.0,5.0,-30.0,0.808,-345.0,3,131,1.1,90.1,200.0,5.0,-30.0,1.513,-95.0,2,1.5,77.3,要注意
"BB逆張り(期間25, 1.5σ)",BB逆張り,6,10,全時間,木,上昇のみ,ATR低,360,2.9,62.2,-16.0,6.0,-10.0,0.988,-136.0,4,148,3.3,70.3,184.0,6.0,-10.0,1.418,-40.0,3,1.435,77.1,要注意
"BBブレイク(期間20, 2.0σ)",BBブレイク,6,5,東京(9-15時),全曜日,順方向のみ,ATR低,561,1.4,47.8,143.0,6.0,-5.0,1.098,-101.0,7,208,1.5,54.3,203.0,6.0,-5.0,1.427,-29.0,4,1.3,77.1,採用候補
"MACDクロス(8,35,6)",MACDクロス,10,30,全時間,火,順方向のみ,ATR低,303,1.7,69.6,-442.7,9.96,-27.64,0.826,-583.1,3,119,1.8,82.4,366.6,9.93,-28.89,1.604,-120.0,2,1.5,77.0,要注意
"RSI逆張り(期間14, 40/75)",RSI逆張り,10,30,全時間,金,下降のみ,ATR高,334,2.6,71.6,-386.1,9.94,-29.07,0.86,-677.1,6,123,2.7,81.3,336.1,9.98,-28.77,1.508,-110.0,2,1.5,76.9,要注意
"BB逆張り(期間25, 1.5σ)",BB逆張り,12,10,東京(9-15時),金,なし,ATR高,330,2.8,40.9,-330.0,12.0,-10.0,0.831,-388.0,6,113,2.6,54.0,212.0,12.0,-10.0,1.408,-48.0,4,1.5,76.8,要注意
押し目(EMA200+RSI40/55),押し目,12,20,全時間,月,レンジのみ,なし,309,1.8,59.9,-207.3,11.61,-18.99,0.912,-320.5,7,100,1.8,70.0,280.1,11.86,-18.34,1.509,-76.0,3,1.5,76.5,要注意
押し目(EMA200+RSI45/55),押し目,6,12,16時台,全曜日,なし,なし,361,1.1,60.4,-408.0,6.0,-12.0,0.762,-438.0,6,149,1.2,71.8,138.0,6.0,-12.0,1.274,-54.0,3,1.5,76.5,要注意
"RSI逆張り(期間14, 35/75)",RSI逆張り,6,8,ロンドン(16-21時),月,なし,なし,307,2.0,54.4,-111.3,6.0,-7.95,0.9,-178.0,6,119,2.3,64.7,120.8,5.93,-8.0,1.36,-58.0,3,1.5,76.4,要注意
"RSI逆張り(期間7, 35/60)",RSI逆張り,4,20,東京(9-15時),金,なし,ATR高,428,3.5,80.1,-328.0,4.0,-20.0,0.807,-380.0,3,145,3.4,86.2,100.0,4.0,-20.0,1.25,-68.0,2,1.5,76.2,要注意
"BBブレイク(期間30, 2.0σ)",BBブレイク,5,30,ロンドン(16-21時),水,順方向のみ,なし,307,1.9,82.4,-230.2,4.99,-27.64,0.846,-432.0,3,105,1.8,86.7,103.7,5.0,-25.09,1.295,-75.0,2,1.5,75.9,要注意
"EMAクロス(25,150)",EMAクロス,4,15,全時間,金,なし,なし,431,2.4,74.5,-335.3,4.0,-14.72,0.793,-361.3,4,169,2.3,82.2,122.3,4.0,-14.46,1.282,-63.0,3,1.5,75.7,要注意
"BB逆張り(期間30, 2.0σ)",BB逆張り,5,30,全時間,水,なし,ATR低,488,2.7,83.8,-167.2,5.0,-28.0,0.924,-291.5,2,191,3.0,88.0,241.9,5.0,-26.0,1.404,-100.0,3,1.5,75.3,要注意
"BB逆張り(期間25, 1.5σ)",BB逆張り,20,5,16時台,全曜日,なし,ATR高,476,1.4,19.7,-45.3,19.84,-5.0,0.976,-275.0,21,149,1.2,28.2,305.0,20.0,-5.0,1.57,-50.0,10,1.5,75.1,要注意
"RSI逆張り(期間10, 40/60)",RSI逆張り,5,30,16時台,全曜日,なし,直近30分変動大,316,1.1,81.6,-382.2,5.0,-28.83,0.771,-487.2,2,127,1.1,88.2,110.0,5.0,-30.0,1.244,-135.0,1,1.5,75.1,要注意
"BB逆張り(期間25, 2.5σ)",BB逆張り,8,30,全時間,火,上昇のみ,なし,434,2.6,76.5,-67.3,7.96,-26.55,0.975,-455.1,4,163,2.7,83.4,336.9,7.96,-27.64,1.451,-110.0,2,1.488,75.0,要注意
"BB逆張り(期間30, 1.5σ)",BB逆張り,6,15,全時間,水,上昇のみ,ATR高,362,3.1,65.5,-418.2,6.0,-14.72,0.773,-481.2,5,101,2.2,76.2,98.7,5.96,-15.0,1.274,-87.3,2,1.5,74.9,要注意
"BB逆張り(期間30, 2.5σ)",BB逆張り,6,30,全時間,水,なし,ATR低,310,1.9,82.3,-46.2,6.0,-28.66,0.971,-226.2,3,116,2.1,85.3,148.8,6.0,-26.19,1.334,-72.0,2,1.374,74.9,要注意
"BB逆張り(期間14, 1.5σ)",BB逆張り,4,30,9時台,全曜日,レンジのみ,なし,514,1.2,88.5,128.8,4.0,-28.66,1.076,-190.0,3,184,1.2,91.3,215.2,4.0,-28.55,1.471,-98.0,2,1.367,74.9,採用候補
押し目(EMA200+RSI40/55),押し目,5,12,全時間,月,レンジのみ,なし,562,2.9,64.6,-545.4,4.99,-11.85,0.769,-574.8,7,218,3.0,73.4,108.2,5.0,-11.93,1.156,-59.0,3,1.5,74.7,要注意
"EMAクロス(25,75)",EMAクロス,20,5,東京(9-15時),全曜日,レンジのみ,なし,831,1.4,19.7,-58.8,19.98,-5.0,0.982,-443.8,27,290,1.3,27.9,562.3,19.84,-5.0,1.538,-60.0,11,1.5,74.6,要注意
"BB逆張り(期間20, 2.0σ)",BB逆張り,4,30,全時間,水,上昇のみ,ATR低,302,2.4,82.5,-413.9,4.0,-26.6,0.706,-488.5,4,134,2.7,89.6,112.8,4.0,-26.23,1.307,-120.0,2,1.5,74.5,要注意
押し目(EMA200+RSI40/60),押し目,5,5,全時間,月,レンジのみ,なし,333,2.1,42.6,-245.4,4.97,-4.98,0.742,-250.4,12,105,2.0,54.3,45.0,5.0,-5.0,1.188,-35.0,3,1.5,74.4,要注意
"RSI逆張り(期間7, 30/70)",RSI逆張り,5,20,NY(21-23時),水,なし,なし,351,1.7,70.4,-659.2,4.94,-18.08,0.649,-669.2,5,131,1.8,80.9,78.2,5.0,-18.07,1.173,-72.0,2,1.5,74.4,要注意
"RSI逆張り(期間10, 40/80)",RSI逆張り,6,15,ロンドン(16-21時),全曜日,順方向のみ,なし,591,1.3,69.5,-160.1,5.99,-14.56,0.939,-311.9,6,204,1.4,77.0,237.0,6.0,-15.0,1.336,-72.0,3,1.423,74.4,要注意
"MACDクロス(16,35,9)",MACDクロス,20,25,東京(9-15時),全曜日,上昇のみ,ATR低,361,1.1,53.2,-218.9,18.97,-22.85,0.943,-696.5,6,124,1.1,63.7,511.5,19.53,-22.92,1.496,-135.0,3,1.5,74.4,要注意
"BBブレイク(期間20, 2.5σ)",BBブレイク,6,25,全時間,木,順方向のみ,直近30分変動大,475,2.6,80.6,53.8,5.99,-24.33,1.024,-270.2,3,199,2.8,84.4,261.0,6.0,-24.1,1.349,-97.0,2,1.317,74.3,要注意
"MACDクロス(12,26,6)",MACDクロス,12,12,全時間,月,下降のみ,ATR高,305,3.5,50.5,42.9,11.94,-11.89,1.024,-144.0,6,106,3.3,59.4,229.0,11.83,-12.0,1.444,-48.0,5,1.41,74.1,要注意
押し目(EMA200+RSI40/55),押し目,15,12,ロンドン(16-21時),月,なし,なし,325,1.7,41.8,-306.0,14.27,-11.89,0.864,-354.9,7,127,1.8,52.8,281.4,14.7,-11.72,1.4,-69.0,6,1.5,73.9,要注意
"MACDクロス(16,35,6)",MACDクロス,12,25,ロンドン(16-21時),火,なし,なし,424,2.0,64.6,-300.3,11.86,-23.67,0.915,-529.0,4,171,2.2,71.3,304.1,11.94,-23.51,1.264,-97.0,2,1.381,73.9,要注意
"BBブレイク(期間30, 2.0σ)",BBブレイク,25,20,ロンドン(16-21時),木,なし,なし,330,1.6,47.3,166.6,22.73,-19.42,1.049,-300.0,8,121,1.6,57.0,618.1,23.65,-19.49,1.61,-105.0,5,1.5,73.8,要注意
"BB逆張り(期間14, 2.0σ)",BB逆張り,15,20,東京(9-15時),全曜日,レンジのみ,ATR高,322,1.5,56.2,-97.2,15.0,-19.94,0.965,-332.2,6,106,1.3,65.1,307.5,14.91,-19.49,1.426,-85.0,3,1.478,73.8,要注意
"RSI逆張り(期間14, 40/60)",RSI逆張り,6,10,ロンドン(16-21時),火,なし,なし,808,3.9,60.5,-256.0,6.0,-10.0,0.92,-406.0,7,287,3.7,66.9,205.2,6.0,-9.97,1.217,-46.0,4,1.323,73.7,要注意
"BB逆張り(期間30, 2.5σ)",BB逆張り,6,30,全時間,全曜日,順方向のみ,なし,945,1.3,81.7,134.2,5.98,-25.91,1.03,-419.4,3,313,1.3,85.9,417.6,5.96,-26.96,1.352,-130.9,2,1.313,73.5,要注意
押し目(EMA200+RSI40/55),押し目,4,15,16時台,全曜日,順方向のみ,なし,304,1.1,73.7,-303.4,3.98,-14.95,0.746,-372.7,5,132,1.2,81.1,59.2,4.0,-14.75,1.161,-74.0,2,1.5,73.5,要注意
"BB逆張り(期間20, 2.0σ)",BB逆張り,4,30,全時間,水,なし,ATR高,763,4.2,87.4,18.1,4.0,-27.6,1.007,-522.0,4,282,4.1,90.8,244.0,4.0,-30.0,1.313,-114.0,2,1.304,73.4,要注意
"MACDクロス(16,35,12)",MACDクロス,8,20,ロンドン(16-21時),全曜日,なし,ATR低,321,1.3,67.0,-175.8,7.92,-17.72,0.906,-306.2,4,153,1.2,74.5,199.2,7.79,-17.66,1.289,-78.8,3,1.423,73.3,要注意
"BB逆張り(期間14, 2.0σ)",BB逆張り,4,30,全時間,金,順方向のみ,直近30分変動大,410,2.5,89.0,176.8,4.0,-28.52,1.138,-222.0,2,174,2.4,89.7,125.2,4.0,-27.71,1.251,-92.0,1,1.099,73.3,採用候補
"RSI逆張り(期間7, 35/65)",RSI逆張り,8,15,15時台,全曜日,なし,直近30分変動大,334,1.2,60.8,-341.0,8.0,-15.0,0.826,-412.0,5,164,1.1,70.7,208.0,8.0,-15.0,1.289,-77.0,5,1.5,73.3,要注意
"BB逆張り(期間30, 2.5σ)",BB逆張り,12,12,全時間,水,なし,ATR低,323,2.0,50.8,31.1,11.7,-11.87,1.016,-217.7,8,115,2.1,59.1,252.0,12.0,-12.0,1.447,-60.0,5,1.424,73.2,要注意
"BB逆張り(期間30, 2.0σ)",BB逆張り,4,25,ロンドン(16-21時),全曜日,順方向のみ,なし,353,1.0,81.6,-268.3,4.0,-21.85,0.811,-399.6,4,143,1.1,88.1,95.9,4.0,-24.01,1.235,-134.0,2,1.5,73.2,要注意
"EMAクロス(25,200)",EMAクロス,8,20,ロンドン(16-21時),全曜日,なし,なし,495,1.2,70.1,-87.6,7.93,-19.19,0.969,-220.0,5,167,1.2,76.6,253.6,7.97,-19.66,1.331,-84.0,3,1.374,73.2,要注意
"RSI逆張り(期間10, 40/70)",RSI逆張り,8,12,全時間,金,上昇のみ,直近30分変動大,370,2.8,59.5,-33.3,8.0,-11.96,0.981,-216.0,5,173,2.9,67.1,254.0,8.0,-11.82,1.377,-72.0,4,1.404,73.2,要注意
"MACDクロス(8,26,12)",MACDクロス,6,25,9時台,全曜日,なし,直近30分変動大,351,1.1,78.6,-224.6,5.98,-25.0,0.88,-336.6,3,142,1.1,83.8,158.2,6.0,-24.17,1.285,-113.0,2,1.46,73.2,要注意
"BBブレイク(期間25, 2.0σ)",BBブレイク,4,10,東京(9-15時),月,なし,なし,722,3.5,70.5,-94.0,4.0,-10.0,0.956,-210.0,5,274,3.6,74.5,116.0,4.0,-10.0,1.166,-62.0,2,1.22,73.1,要注意
押し目(EMA200+RSI45/60),押し目,15,30,東京(9-15時),水,なし,なし,336,1.6,61.9,-486.5,14.74,-27.76,0.863,-551.2,6,132,1.7,73.5,403.6,14.86,-29.64,1.389,-120.0,4,1.5,73.1,要注意
"BBブレイク(期間25, 2.5σ)",BBブレイク,6,12,全時間,月,なし,ATR高,340,2.8,64.1,-159.8,5.98,-12.0,0.891,-366.0,4,105,2.1,71.4,90.0,6.0,-12.0,1.25,-54.0,3,1.403,73.1,要注意
"BB逆張り(期間30, 1.5σ)",BB逆張り,5,8,全時間,水,レンジのみ,ATR低,346,2.3,60.4,-51.0,5.0,-8.0,0.953,-228.0,7,125,2.3,66.4,79.0,5.0,-8.0,1.235,-32.0,4,1.296,73.1,要注意
"MACDクロス(8,35,12)",MACDクロス,4,30,全時間,火,下降のみ,直近30分変動大,328,2.9,83.2,-482.7,4.0,-28.63,0.693,-508.7,3,169,3.2,89.9,98.0,4.0,-30.0,1.192,-126.0,2,1.5,73.0,要注意
"BBブレイク(期間20, 1.5σ)",BBブレイク,5,12,東京(9-15時),木,順方向のみ,なし,445,2.5,69.2,-104.0,5.0,-12.0,0.937,-224.0,3,190,2.7,75.8,168.0,5.0,-12.0,1.304,-81.0,3,1.392,73.0,要注意
"BBブレイク(期間14, 1.5σ)",BBブレイク,8,30,全時間,木,上昇のみ,なし,907,4.9,73.3,-1415.9,7.99,-27.81,0.79,-1504.8,5,392,5.6,81.4,432.3,7.98,-28.97,1.204,-142.4,3,1.5,73.0,要注意
"MACDクロス(8,21,6)",MACDクロス,6,8,ロンドン(16-21時),月,なし,ATR高,391,3.4,53.2,-216.0,6.0,-8.0,0.852,-252.0,11,131,3.4,63.4,114.0,6.0,-8.0,1.297,-84.0,4,1.5,73.0,要注意
押し目(EMA200+RSI35/55),押し目,8,10,全時間,木,なし,ATR低,333,2.1,55.0,-49.4,7.93,-10.0,0.967,-282.0,8,135,2.2,63.0,180.0,8.0,-10.0,1.36,-68.0,4,1.406,73.0,要注意
"BB逆張り(期間30, 1.5σ)",BB逆張り,5,25,NY(21-23時),金,なし,なし,383,1.9,79.1,-168.8,4.95,-20.87,0.899,-414.5,3,138,1.9,84.1,105.7,5.0,-21.56,1.223,-80.4,2,1.36,72.9,要注意
"BB逆張り(期間30, 2.0σ)",BB逆張り,12,5,全時間,金,下降のみ,ATR高,435,3.4,26.0,-254.0,12.0,-5.0,0.842,-324.0,13,128,3.2,35.2,125.0,12.0,-5.0,1.301,-54.0,8,1.5,72.9,要注意
"BB逆張り(期間25, 2.0σ)",BB逆張り,6,15,全時間,水,下降のみ,なし,676,4.5,69.4,-278.3,5.99,-14.92,0.91,-477.3,6,303,5.1,75.9,291.3,6.0,-14.91,1.268,-93.0,3,1.393,72.9,要注意
"MACDクロス(8,26,9)",MACDクロス,8,30,9時台,全曜日,なし,直近30分変動大,316,1.1,77.5,-177.6,7.97,-30.0,0.917,-498.0,4,136,1.0,81.6,162.2,8.0,-29.03,1.223,-94.0,2,1.334,72.8,要注意
"BBブレイク(期間20, 2.0σ)",BBブレイク,5,12,東京(9-15時),月,なし,なし,709,3.4,70.4,-25.0,5.0,-12.0,0.99,-363.0,7,268,3.4,74.6,184.0,5.0,-12.0,1.225,-66.0,3,1.237,72.7,要注意
"BBブレイク(期間20, 2.0σ)",BBブレイク,10,30,ロンドン(16-21時),木,なし,なし,433,2.1,65.4,-1245.4,9.98,-27.12,0.694,-1448.0,5,160,2.1,76.9,244.6,10.0,-26.63,1.248,-140.0,3,1.5,72.7,要注意
"MACDクロス(12,35,12)",MACDクロス,10,25,東京(9-15時),全曜日,順方向のみ,ATR低,372,1.1,70.7,110.4,9.93,-22.94,1.044,-436.7,3,130,1.1,76.9,257.2,9.85,-24.27,1.353,-90.0,3,1.296,72.6,要注意
"BB逆張り(期間14, 2.0σ)",BB逆張り,8,25,全時間,水,レンジのみ,直近30分変動大,410,2.5,73.4,-176.1,8.0,-23.71,0.932,-587.4,4,185,2.7,80.0,303.5,8.0,-23.8,1.345,-116.8,3,1.443,72.6,要注意
押し目(EMA200+RSI35/65),押し目,5,10,ロンドン(16-21時),全曜日,上昇のみ,なし,322,1.2,62.7,-179.2,5.0,-9.91,0.849,-264.2,5,117,1.2,72.6,105.0,5.0,-10.0,1.328,-90.0,4,1.5,72.6,要注意
押し目(EMA200+RSI40/65),押し目,5,25,ロンドン(16-21時),全曜日,レンジのみ,なし,519,1.3,79.6,-393.4,4.99,-23.15,0.84,-513.4,3,188,1.3,85.1,131.7,5.0,-23.87,1.197,-100.0,2,1.425,72.5,要注意
"BB逆張り(期間20, 2.0σ)",BB逆張り,4,20,東京(9-15時),全曜日,上昇のみ,ATR高,317,1.7,78.9,-340.0,4.0,-20.0,0.746,-376.0,4,106,1.5,84.9,40.0,4.0,-20.0,1.125,-92.0,1,1.5,72.5,要注意
"MACDクロス(16,26,12)",MACDクロス,10,30,東京(9-15時),全曜日,順方向のみ,ATR低,346,1.1,72.8,-9.3,9.96,-26.8,0.996,-491.8,3,123,1.1,79.7,251.3,9.85,-28.56,1.352,-100.0,3,1.357,72.4,要注意
"MACDクロス(16,21,9)",MACDクロス,10,30,ロンドン(16-21時),全曜日,なし,ATR低,342,1.2,67.3,-431.6,9.66,-23.69,0.837,-478.4,5,154,1.2,75.3,230.1,9.75,-23.71,1.255,-100.0,3,1.499,72.4,要注意
"BB逆張り(期間14, 2.5σ)",BB逆張り,30,20,東京(9-15時),全曜日,上昇のみ,直近30分変動大,354,1.2,36.4,-747.7,28.48,-19.65,0.831,-821.2,13,141,1.2,51.1,704.3,28.95,-20.0,1.51,-150.0,5,1.5,72.4,要注意
"BBブレイク(期間20, 2.5σ)",BBブレイク,25,20,全時間,木,下降のみ,なし,349,2.3,51.0,901.7,23.7,-19.4,1.272,-206.4,9,109,2.1,54.1,514.7,24.72,-18.87,1.545,-80.0,4,1.215,72.3,採用候補
"MACDクロス(16,26,9)",MACDクロス,12,5,全時間,月,なし,ATR低,570,3.6,30.7,99.7,11.83,-4.99,1.051,-106.0,17,196,3.6,39.3,319.7,11.88,-5.0,1.537,-71.0,8,1.462,72.3,採用候補
"BBブレイク(期間20, 2.5σ)",BBブレイク,8,30,15時台,全曜日,なし,なし,454,1.1,72.2,-805.4,7.93,-27.04,0.764,-871.6,5,142,1.1,80.3,126.7,7.93,-27.76,1.163,-100.0,3,1.5,72.3,要注意
"BB逆張り(期間30, 1.5σ)",BB逆張り,8,20,東京(9-15時),全曜日,レンジのみ,直近30分変動大,329,1.4,70.8,-56.0,8.0,-20.0,0.971,-152.0,4,145,1.3,76.6,208.0,8.0,-20.0,1.306,-96.0,3,1.345,72.2,要注意
"RSI逆張り(期間10, 35/70)",RSI逆張り,25,5,ロンドン(16-21時),全曜日,下降のみ,ATR高,667,2.4,15.0,-407.4,24.28,-5.0,0.856,-605.7,26,206,2.2,21.4,265.8,24.45,-5.0,1.328,-70.0,14,1.5,72.1,要注意
"BBブレイク(期間30, 1.5σ)",BBブレイク,30,30,東京(9-15時),月,なし,なし,332,1.6,48.5,-266.3,27.38,-27.34,0.943,-906.3,9,137,1.8,59.1,724.1,28.27,-27.96,1.462,-150.0,5,1.5,72.0,要注意
"BBブレイク(期間30, 1.5σ)",BBブレイク,4,30,9時台,全曜日,上昇のみ,なし,444,1.2,84.2,-490.0,4.0,-28.37,0.753,-522.0,2,180,1.3,88.9,100.4,4.0,-26.98,1.186,-182.0,2,1.5,72.0,要注意
"BBブレイク(期間20, 2.0σ)",BBブレイク,5,15,東京(9-15時),火,なし,直近30分変動大,495,2.8,70.9,-405.0,5.0,-15.0,0.812,-550.0,4,221,3.0,78.3,145.0,5.0,-15.0,1.201,-70.0,4,1.479,72.0,要注意
押し目(EMA200+RSI40/65),押し目,12,20,全時間,火,レンジのみ,なし,395,2.0,57.0,-687.3,11.77,-19.62,0.794,-892.9,7,144,2.1,66.7,206.2,12.0,-19.7,1.218,-164.0,3,1.5,71.9,要注意
"BB逆張り(期間30, 1.5σ)",BB逆張り,4,25,22時台,全曜日,なし,ATR高,667,1.2,78.7,-782.5,3.99,-20.27,0.728,-876.5,3,189,1.3,86.2,73.2,3.98,-22.15,1.127,-122.0,2,1.5,71.9,要注意
"BB逆張り(期間25, 2.0σ)",BB逆張り,15,30,10時台,全曜日,なし,ATR高,308,1.1,59.7,-763.0,14.99,-28.4,0.783,-893.8,7,125,1.1,69.6,192.8,15.0,-29.27,1.173,-120.0,2,1.498,71.9,要注意
"RSI逆張り(期間7, 30/65)",RSI逆張り,15,5,ロンドン(16-21時),水,なし,ATR高,376,3.3,25.0,0.0,15.0,-5.0,1.0,-130.0,17,116,3.1,32.8,180.0,15.0,-5.0,1.462,-55.0,10,1.462,71.8,要注意
"RSI逆張り(期間7, 30/60)",RSI逆張り,10,25,全時間,金,上昇のみ,なし,838,4.6,67.1,-1116.0,9.85,-24.09,0.832,-1283.5,6,379,5.3,76.0,692.7,10.0,-24.04,1.317,-215.0,4,1.5,71.7,要注意
"MACDクロス(8,35,6)",MACDクロス,12,5,全時間,木,レンジのみ,ATR低,336,2.6,23.5,-337.0,12.0,-5.0,0.738,-394.0,15,109,2.4,35.8,120.3,12.0,-4.97,1.346,-61.7,12,1.5,71.7,要注意
"RSI逆張り(期間21, 40/65)",RSI逆張り,4,15,16時台,全曜日,なし,なし,583,1.2,78.0,-68.7,4.0,-14.76,0.964,-282.5,4,205,1.1,81.5,98.0,4.0,-15.0,1.172,-56.0,3,1.216,71.7,要注意
押し目(EMA200+RSI40/60),押し目,8,12,全時間,全曜日,なし,ATR低,578,1.3,56.9,-277.7,7.86,-11.5,0.903,-433.0,7,209,1.4,64.6,223.5,7.96,-11.5,1.263,-88.0,4,1.399,71.6,要注意
"BB逆張り(期間25, 2.0σ)",BB逆張り,6,10,全時間,水,下降のみ,なし,740,5.0,60.1,-280.0,6.0,-10.0,0.905,-396.0,7,325,5.5,67.7,270.0,6.0,-10.0,1.257,-78.0,5,1.389,71.5,要注意
押し目(EMA200+RSI45/55),押し目,5,20,全時間,金,なし,直近30分変動大,427,2.8,76.1,-392.6,5.0,-19.78,0.805,-455.0,5,187,3.0,82.4,110.0,5.0,-20.0,1.167,-80.0,3,1.45,71.4,要注意
"RSI逆張り(期間14, 25/65)",RSI逆張り,6,5,全時間,木,なし,ATR低,352,2.6,44.0,-55.0,6.0,-5.0,0.944,-208.0,10,133,2.8,50.4,72.0,6.0,-5.0,1.218,-38.0,5,1.29,71.4,要注意
"RSI逆張り(期間10, 40/65)",RSI逆張り,4,8,全時間,金,上昇のみ,直近30分変動大,326,2.7,60.4,-244.0,4.0,-8.0,0.764,-268.0,5,179,3.1,69.3,56.0,4.0,-8.0,1.127,-52.0,3,1.475,71.4,要注意
"MACDクロス(8,26,9)",MACDクロス,6,10,全時間,水,レンジのみ,ATR低,308,2.1,58.8,-177.6,6.0,-9.95,0.859,-242.0,6,125,2.2,65.6,62.0,6.0,-10.0,1.144,-50.0,3,1.332,71.2,要注意
"BB逆張り(期間30, 2.0σ)",BB逆張り,5,20,全時間,火,なし,ATR高,678,3.9,79.2,-42.4,4.99,-19.31,0.984,-300.2,4,254,4.2,82.3,160.5,5.0,-19.66,1.181,-110.0,2,1.2,71.2,要注意
"RSI逆張り(期間14, 35/70)",RSI逆張り,12,5,10時台,全曜日,なし,なし,654,1.3,28.7,-74.0,12.0,-5.0,0.968,-202.0,13,270,1.3,37.0,340.6,11.91,-5.0,1.401,-75.0,9,1.447,71.2,要注意
"BB逆張り(期間25, 2.5σ)",BB逆張り,12,10,全時間,全曜日,順方向のみ,直近30分変動大,673,1.3,44.9,-100.1,11.8,-9.88,0.973,-294.3,10,266,1.3,52.6,393.3,11.76,-9.94,1.314,-86.0,5,1.35,71.2,要注意
