datetime_utc,open,high,low,close,volume
2023-01-31 15:00:00+00:00,129.844,129.853,129.743,129.851,5630.62
2023-01-31 15:05:00+00:00,129.85,130.024,129.843,130.012,5313.13
2023-01-31 15:10:00+00:00,130.014,130.073,130.002,130.028,5262.03
2023-01-31 15:15:00+00:00,130.027,130.04,129.955,129.984,4493.0
2023-01-31 15:20:00+00:00,129.984,130.094,129.971,130.07,4262.95
2023-01-31 15:25:00+00:00,130.069,130.218,130.058,130.161,4921.16
2023-01-31 15:30:00+00:00,130.159,130.169,130.074,130.075,4699.2
2023-01-31 15:35:00+00:00,130.075,130.089,129.983,130.011,4390.81
2023-01-31 15:40:00+00:00,130.009,130.011,129.927,129.958,4576.32
2023-01-31 15:45:00+00:00,129.957,130.063,129.9,130.039,4875.09
2023-01-31 15:50:00+00:00,130.039,130.195,130.025,130.153,6704.71
2023-01-31 15:55:00+00:00,130.156,130.182,130.002,130.036,6782.5
2023-01-31 16:00:00+00:00,130.037,130.138,130.003,130.124,5567.34
2023-01-31 16:05:00+00:00,130.125,130.152,130.105,130.141,2893.06
2023-01-31 16:10:00+00:00,130.141,130.22,130.129,130.136,3621.75
2023-01-31 16:15:00+00:00,130.137,130.17,130.111,130.151,2291.12
2023-01-31 16:20:00+00:00,130.15,130.206,130.133,130.185,2014.38
2023-01-31 16:25:00+00:00,130.185,130.197,130.094,130.126,2522.5
2023-01-31 16:30:00+00:00,130.126,130.138,130.057,130.086,2960.74
2023-01-31 16:35:00+00:00,130.089,130.146,130.076,130.146,3045.37
2023-01-31 16:40:00+00:00,130.148,130.19,130.135,130.18,2553.96
2023-01-31 16:45:00+00:00,130.18,130.202,130.151,130.169,2909.01
2023-01-31 16:50:00+00:00,130.169,130.174,130.14,130.172,2421.1
2023-01-31 16:55:00+00:00,130.172,130.184,130.126,130.177,1940.89
2023-01-31 17:00:00+00:00,130.178,130.249,130.178,130.227,2500.01
2023-01-31 17:05:00+00:00,130.228,130.25,130.203,130.23,1819.8
2023-01-31 17:10:00+00:00,130.232,130.246,130.201,130.228,1928.14
2023-01-31 17:15:00+00:00,130.227,130.242,130.196,130.229,1440.22
2023-01-31 17:20:00+00:00,130.229,130.256,130.209,130.244,1615.82
