datetime_utc,open,high,low,close,volume
2023-08-31 15:00:00+00:00,145.599,145.645,145.456,145.63,6397.34
2023-08-31 15:05:00+00:00,145.629,145.659,145.591,145.591,4289.38
2023-08-31 15:10:00+00:00,145.592,145.655,145.525,145.582,3113.14
2023-08-31 15:15:00+00:00,145.581,145.67,145.58,145.648,2857.78
2023-08-31 15:20:00+00:00,145.647,145.738,145.638,145.69,2589.26
2023-08-31 15:25:00+00:00,145.692,145.703,145.598,145.632,3139.04
2023-08-31 15:30:00+00:00,145.63,145.737,145.618,145.706,3155.31
2023-08-31 15:35:00+00:00,145.706,145.725,145.638,145.699,2542.26
2023-08-31 15:40:00+00:00,145.698,145.74,145.676,145.688,2326.75
2023-08-31 15:45:00+00:00,145.693,145.717,145.659,145.66,2575.95
2023-08-31 15:50:00+00:00,145.661,145.706,145.638,145.645,2264.66
2023-08-31 15:55:00+00:00,145.644,145.72,145.643,145.686,1926.21
2023-08-31 16:00:00+00:00,145.685,145.685,145.641,145.659,2191.93
2023-08-31 16:05:00+00:00,145.659,145.662,145.566,145.577,2249.34
2023-08-31 16:10:00+00:00,145.577,145.586,145.545,145.57,822.32
2023-08-31 16:15:00+00:00,145.57,145.601,145.548,145.57,1191.91
2023-08-31 16:20:00+00:00,145.571,145.582,145.553,145.569,1669.28
2023-08-31 16:25:00+00:00,145.569,145.607,145.567,145.572,916.35
2023-08-31 16:30:00+00:00,145.571,145.571,145.514,145.517,932.76
2023-08-31 16:35:00+00:00,145.517,145.526,145.462,145.491,1717.03
2023-08-31 16:40:00+00:00,145.492,145.505,145.447,145.447,1441.75
2023-08-31 16:45:00+00:00,145.446,145.465,145.433,145.453,930.65
2023-08-31 16:50:00+00:00,145.455,145.477,145.44,145.477,928.36
2023-08-31 16:55:00+00:00,145.477,145.514,145.476,145.5,1064.9
2023-08-31 17:00:00+00:00,145.499,145.54,145.498,145.506,1008.1
2023-08-31 17:05:00+00:00,145.506,145.509,145.474,145.478,825.87
2023-08-31 17:10:00+00:00,145.478,145.49,145.468,145.477,723.67
2023-08-31 17:15:00+00:00,145.477,145.511,145.474,145.51,1096.95
2023-08-31 17:20:00+00:00,145.512,145.52,145.444,145.445,1104.45
2023-08-31 17:25:00+00:00,145.445,145.487,145.431,145.474,932.94
2023-08-31 17:30:00+00:00,145.477,145.505,145.469,145.488,1012.5
2023-08-31 17:35:00+00:00,145.488,145.498,145.423,145.432,1054.82
2023-08-31 17:40:00+00:00,145.432,145.466,145.422,145.44,1871.79
2023-08-31 17:45:00+00:00,145.44,145.455,145.433,145.44,827.51
2023-08-31 17:50:00+00:00,145.441,145.466,145.435,145.452,409.34
2023-08-31 17:55:00+00:00,145.453,145.472,145.44,145.443,640.95
2023-08-31 18:00:00+00:00,145.444,145.447,145.429,145.433,991.25
2023-08-31 18:05:00+00:00,145.434,145.446,145.419,145.432,981.6
2023-08-31 18:10:00+00:00,145.432,145.442,145.423,145.441,564.54
2023-08-31 18:15:00+00:00,145.441,145.442,145.422,145.433,404.4
2023-08-31 18:20:00+00:00,145.433,145.433,145.399,145.401,909.91
2023-08-31 18:25:00+00:00,145.4,145.4,145.348,145.37,1232.93
2023-08-31 18:30:00+00:00,145.37,145.438,145.367,145.398,454.37
2023-08-31 18:35:00+00:00,145.4,145.431,145.386,145.398,893.74
2023-08-31 18:40:00+00:00,145.401,145.423,145.394,145.423,1642.56
2023-08-31 18:45:00+00:00,145.428,145.431,145.38,145.391,874.62
2023-08-31 18:50:00+00:00,145.39,145.395,145.36,145.38,658.28
2023-08-31 18:55:00+00:00,145.38,145.443,145.38,145.425,1201.75
2023-08-31 19:00:00+00:00,145.429,145.434,145.387,145.389,1251.25
2023-08-31 19:05:00+00:00,145.39,145.401,145.381,145.388,883.77
2023-08-31 19:10:00+00:00,145.389,145.392,145.37,145.387,836.67
2023-08-31 19:15:00+00:00,145.387,145.402,145.371,145.398,576.39
2023-08-31 19:20:00+00:00,145.398,145.411,145.367,145.37,883.19
2023-08-31 19:25:00+00:00,145.37,145.396,145.368,145.379,629.65
2023-08-31 19:30:00+00:00,145.381,145.428,145.38,145.413,484.78
2023-08-31 19:35:00+00:00,145.414,145.425,145.399,145.41,1298.25
2023-08-31 19:40:00+00:00,145.41,145.433,145.406,145.425,947.51
2023-08-31 19:45:00+00:00,145.425,145.481,145.423,145.474,770.0
2023-08-31 19:50:00+00:00,145.474,145.493,145.47,145.472,1129.62
2023-08-31 19:55:00+00:00,145.472,145.504,145.447,145.454,2219.91
2023-08-31 20:00:00+00:00,145.457,145.501,145.454,145.485,783.86
2023-08-31 20:05:00+00:00,145.483,145.494,145.483,145.493,337.54
2023-08-31 20:10:00+00:00,145.492,145.492,145.479,145.483,234.99
2023-08-31 20:15:00+00:00,145.484,145.489,145.481,145.484,203.55
2023-08-31 20:20:00+00:00,145.483,145.488,145.481,145.485,200.86
2023-08-31 20:25:00+00:00,145.485,145.491,145.482,145.486,336.15
2023-08-31 20:30:00+00:00,145.485,145.536,145.484,145.515,414.33
2023-08-31 20:35:00+00:00,145.516,145.528,145.515,145.516,307.65
2023-08-31 20:40:00+00:00,145.515,145.517,145.501,145.501,378.0
2023-08-31 20:45:00+00:00,145.502,145.53,145.502,145.525,480.27
2023-08-31 20:50:00+00:00,145.524,145.539,145.516,145.534,511.29
2023-08-31 20:55:00+00:00,145.532,145.542,145.522,145.523,659.36
2023-08-31 21:00:00+00:00,145.519,145.519,145.445,145.501,14.85
2023-08-31 21:05:00+00:00,145.502,145.539,145.467,145.527,78.05
2023-08-31 21:10:00+00:00,145.528,145.53,145.461,145.508,47.08
2023-08-31 21:15:00+00:00,145.508,145.514,145.474,145.497,128.1
2023-08-31 21:20:00+00:00,145.493,145.499,145.472,145.489,65.94
2023-08-31 21:25:00+00:00,145.487,145.505,145.483,145.5,52.44
2023-08-31 21:30:00+00:00,145.505,145.505,145.487,145.498,73.86
2023-08-31 21:35:00+00:00,145.499,145.53,145.492,145.513,181.43
2023-08-31 21:40:00+00:00,145.512,145.532,145.496,145.516,110.66
2023-08-31 21:45:00+00:00,145.517,145.527,145.499,145.517,208.87
2023-08-31 21:50:00+00:00,145.517,145.533,145.513,145.53,158.63
2023-08-31 21:55:00+00:00,145.528,145.536,145.518,145.534,129.49
