datetime_utc,open,high,low,close,volume
2024-04-30 15:00:00+00:00,157.336,157.402,157.311,157.354,1197.04
2024-04-30 15:05:00+00:00,157.35,157.373,157.328,157.357,699.35
2024-04-30 15:10:00+00:00,157.357,157.361,157.337,157.353,568.91
2024-04-30 15:15:00+00:00,157.353,157.407,157.326,157.39,839.02
2024-04-30 15:20:00+00:00,157.39,157.449,157.39,157.425,730.17
2024-04-30 15:25:00+00:00,157.428,157.459,157.397,157.45,484.25
2024-04-30 15:30:00+00:00,157.448,157.475,157.432,157.471,524.38
2024-04-30 15:35:00+00:00,157.475,157.507,157.467,157.507,872.58
2024-04-30 15:40:00+00:00,157.508,157.573,157.507,157.557,485.76
2024-04-30 15:45:00+00:00,157.562,157.562,157.494,157.506,538.93
2024-04-30 15:50:00+00:00,157.505,157.554,157.468,157.5,600.23
2024-04-30 15:55:00+00:00,157.501,157.549,157.501,157.545,387.79
2024-04-30 16:00:00+00:00,157.54,157.557,157.504,157.552,345.48
2024-04-30 16:05:00+00:00,157.552,157.568,157.534,157.537,354.9
2024-04-30 16:10:00+00:00,157.537,157.548,157.505,157.521,325.14
2024-04-30 16:15:00+00:00,157.522,157.551,157.52,157.539,353.39
2024-04-30 16:20:00+00:00,157.544,157.574,157.539,157.549,289.97
2024-04-30 16:25:00+00:00,157.548,157.558,157.521,157.532,314.93
2024-04-30 16:30:00+00:00,157.533,157.538,157.511,157.534,289.7
2024-04-30 16:35:00+00:00,157.535,157.54,157.498,157.504,153.43
2024-04-30 16:40:00+00:00,157.503,157.534,157.492,157.521,252.39
2024-04-30 16:45:00+00:00,157.523,157.524,157.479,157.484,286.15
2024-04-30 16:50:00+00:00,157.48,157.497,157.457,157.458,145.03
2024-04-30 16:55:00+00:00,157.457,157.47,157.435,157.46,369.04
2024-04-30 17:00:00+00:00,157.46,157.488,157.444,157.472,374.54
2024-04-30 17:05:00+00:00,157.474,157.495,157.468,157.485,266.82
2024-04-30 17:10:00+00:00,157.485,157.51,157.483,157.51,301.63
2024-04-30 17:15:00+00:00,157.51,157.523,157.505,157.522,325.35
2024-04-30 17:20:00+00:00,157.523,157.557,157.516,157.549,301.86
2024-04-30 17:25:00+00:00,157.549,157.561,157.53,157.557,466.66
2024-04-30 17:30:00+00:00,157.557,157.626,157.555,157.62,306.23
2024-04-30 17:35:00+00:00,157.621,157.642,157.619,157.632,276.0
2024-04-30 17:40:00+00:00,157.631,157.642,157.629,157.632,229.77
2024-04-30 17:45:00+00:00,157.632,157.636,157.59,157.592,224.87
2024-04-30 17:50:00+00:00,157.592,157.612,157.581,157.61,300.28
2024-04-30 17:55:00+00:00,157.611,157.611,157.56,157.566,371.7
2024-04-30 18:00:00+00:00,157.566,157.575,157.548,157.571,524.45
2024-04-30 18:05:00+00:00,157.572,157.573,157.557,157.564,414.71
2024-04-30 18:10:00+00:00,157.564,157.59,157.559,157.586,230.38
2024-04-30 18:15:00+00:00,157.587,157.6,157.582,157.596,280.86
2024-04-30 18:20:00+00:00,157.596,157.601,157.587,157.599,310.26
2024-04-30 18:25:00+00:00,157.598,157.613,157.585,157.6,273.86
2024-04-30 18:30:00+00:00,157.601,157.644,157.585,157.644,484.16
2024-04-30 18:35:00+00:00,157.642,157.665,157.641,157.656,298.73
2024-04-30 18:40:00+00:00,157.654,157.669,157.62,157.656,296.79
2024-04-30 18:45:00+00:00,157.656,157.692,157.655,157.691,267.08
2024-04-30 18:50:00+00:00,157.691,157.729,157.672,157.72,393.24
2024-04-30 18:55:00+00:00,157.721,157.725,157.694,157.697,416.71
2024-04-30 19:00:00+00:00,157.697,157.703,157.675,157.678,207.69
2024-04-30 19:05:00+00:00,157.681,157.716,157.681,157.71,475.91
2024-04-30 19:10:00+00:00,157.708,157.718,157.705,157.714,98.97
2024-04-30 19:15:00+00:00,157.715,157.738,157.701,157.738,366.01
2024-04-30 19:20:00+00:00,157.738,157.743,157.721,157.73,188.69
2024-04-30 19:25:00+00:00,157.733,157.76,157.733,157.747,208.03
2024-04-30 19:30:00+00:00,157.743,157.75,157.713,157.728,312.75
2024-04-30 19:35:00+00:00,157.73,157.734,157.716,157.719,403.14
2024-04-30 19:40:00+00:00,157.719,157.734,157.717,157.727,490.89
2024-04-30 19:45:00+00:00,157.728,157.735,157.723,157.729,389.19
2024-04-30 19:50:00+00:00,157.727,157.731,157.712,157.729,187.62
2024-04-30 19:55:00+00:00,157.73,157.732,157.703,157.707,371.48
2024-04-30 20:00:00+00:00,157.711,157.741,157.709,157.73,160.93
2024-04-30 20:05:00+00:00,157.73,157.745,157.727,157.743,371.45
2024-04-30 20:10:00+00:00,157.745,157.769,157.743,157.755,325.23
2024-04-30 20:15:00+00:00,157.756,157.77,157.752,157.761,224.39
2024-04-30 20:20:00+00:00,157.761,157.796,157.761,157.796,281.56
2024-04-30 20:25:00+00:00,157.795,157.8,157.78,157.799,287.42
2024-04-30 20:30:00+00:00,157.8,157.832,157.798,157.825,279.02
2024-04-30 20:35:00+00:00,157.826,157.842,157.817,157.84,161.36
2024-04-30 20:40:00+00:00,157.841,157.842,157.817,157.819,246.89
2024-04-30 20:45:00+00:00,157.819,157.833,157.814,157.815,209.19
2024-04-30 20:50:00+00:00,157.814,157.816,157.781,157.807,472.65
2024-04-30 20:55:00+00:00,157.807,157.839,157.782,157.782,615.27
2024-04-30 21:00:00+00:00,157.782,157.782,157.655,157.655,19.26
2024-04-30 21:05:00+00:00,157.655,157.697,157.651,157.695,140.47
2024-04-30 21:10:00+00:00,157.695,157.699,157.649,157.676,103.79
2024-04-30 21:15:00+00:00,157.664,157.669,157.64,157.656,42.32
2024-04-30 21:20:00+00:00,157.655,157.677,157.639,157.654,41.03
2024-04-30 21:25:00+00:00,157.654,157.654,157.639,157.65,9.16
