datetime_utc,open,high,low,close,volume
2021-04-30 15:00:00+00:00,109.285,109.327,109.249,109.277,1864.21
2021-04-30 15:05:00+00:00,109.276,109.314,109.249,109.261,884.96
2021-04-30 15:10:00+00:00,109.259,109.27,109.238,109.266,794.7
2021-04-30 15:15:00+00:00,109.264,109.305,109.244,109.29,642.2
2021-04-30 15:20:00+00:00,109.291,109.314,109.269,109.269,686.95
2021-04-30 15:25:00+00:00,109.268,109.311,109.251,109.305,600.5
2021-04-30 15:30:00+00:00,109.303,109.317,109.289,109.313,409.07
2021-04-30 15:35:00+00:00,109.314,109.334,109.302,109.302,399.74
2021-04-30 15:40:00+00:00,109.303,109.32,109.301,109.304,378.4
2021-04-30 15:45:00+00:00,109.304,109.319,109.302,109.311,363.61
2021-04-30 15:50:00+00:00,109.311,109.326,109.303,109.309,322.56
2021-04-30 15:55:00+00:00,109.31,109.341,109.308,109.332,261.38
2021-04-30 16:00:00+00:00,109.334,109.342,109.328,109.341,250.91
2021-04-30 16:05:00+00:00,109.34,109.34,109.302,109.309,517.82
2021-04-30 16:10:00+00:00,109.307,109.308,109.265,109.273,341.72
2021-04-30 16:15:00+00:00,109.274,109.28,109.265,109.267,191.82
2021-04-30 16:20:00+00:00,109.268,109.302,109.268,109.302,167.51
2021-04-30 16:25:00+00:00,109.303,109.307,109.287,109.287,124.58
2021-04-30 16:30:00+00:00,109.289,109.317,109.289,109.311,181.54
2021-04-30 16:35:00+00:00,109.311,109.318,109.303,109.31,151.23
2021-04-30 16:40:00+00:00,109.312,109.312,109.303,109.31,79.28
2021-04-30 16:45:00+00:00,109.309,109.314,109.301,109.301,114.91
2021-04-30 16:50:00+00:00,109.302,109.311,109.302,109.308,89.27
2021-04-30 16:55:00+00:00,109.309,109.314,109.297,109.302,144.38
2021-04-30 17:00:00+00:00,109.301,109.302,109.265,109.3,318.94
2021-04-30 17:05:00+00:00,109.299,109.3,109.281,109.289,115.7
2021-04-30 17:10:00+00:00,109.289,109.304,109.281,109.304,218.79
2021-04-30 17:15:00+00:00,109.304,109.308,109.277,109.282,186.59
2021-04-30 17:20:00+00:00,109.281,109.294,109.275,109.294,111.69
2021-04-30 17:25:00+00:00,109.294,109.328,109.294,109.307,214.17
2021-04-30 17:30:00+00:00,109.305,109.305,109.29,109.296,163.48
2021-04-30 17:35:00+00:00,109.295,109.307,109.293,109.297,149.27
2021-04-30 17:40:00+00:00,109.297,109.307,109.286,109.302,172.52
2021-04-30 17:45:00+00:00,109.301,109.306,109.282,109.305,230.47
2021-04-30 17:50:00+00:00,109.306,109.311,109.293,109.304,231.99
2021-04-30 17:55:00+00:00,109.304,109.314,109.297,109.311,207.99
2021-04-30 18:00:00+00:00,109.309,109.313,109.3,109.311,170.31
2021-04-30 18:05:00+00:00,109.31,109.31,109.297,109.3,113.14
2021-04-30 18:10:00+00:00,109.301,109.306,109.297,109.297,92.04
2021-04-30 18:15:00+00:00,109.297,109.297,109.275,109.285,161.47
2021-04-30 18:20:00+00:00,109.287,109.297,109.282,109.295,180.83
2021-04-30 18:25:00+00:00,109.295,109.3,109.283,109.3,157.79
2021-04-30 18:30:00+00:00,109.3,109.32,109.299,109.312,302.06
2021-04-30 18:35:00+00:00,109.31,109.31,109.299,109.305,97.7
2021-04-30 18:40:00+00:00,109.304,109.304,109.276,109.279,78.14
2021-04-30 18:45:00+00:00,109.278,109.297,109.275,109.287,96.11
2021-04-30 18:50:00+00:00,109.29,109.322,109.284,109.319,249.48
2021-04-30 18:55:00+00:00,109.32,109.322,109.299,109.305,321.35
2021-04-30 19:00:00+00:00,109.303,109.313,109.294,109.308,218.0
2021-04-30 19:05:00+00:00,109.307,109.315,109.297,109.305,123.5
2021-04-30 19:10:00+00:00,109.305,109.321,109.305,109.315,57.45
2021-04-30 19:15:00+00:00,109.316,109.331,109.308,109.331,154.64
2021-04-30 19:20:00+00:00,109.327,109.331,109.305,109.312,216.01
2021-04-30 19:25:00+00:00,109.313,109.321,109.309,109.321,148.58
2021-04-30 19:30:00+00:00,109.32,109.321,109.303,109.308,112.6
2021-04-30 19:35:00+00:00,109.309,109.316,109.305,109.316,74.21
2021-04-30 19:40:00+00:00,109.315,109.316,109.304,109.314,123.88
2021-04-30 19:45:00+00:00,109.314,109.338,109.31,109.331,157.97
2021-04-30 19:50:00+00:00,109.33,109.331,109.304,109.31,191.06
2021-04-30 19:55:00+00:00,109.312,109.314,109.282,109.286,182.95
2021-04-30 20:00:00+00:00,109.286,109.307,109.282,109.298,209.9
2021-04-30 20:05:00+00:00,109.301,109.32,109.301,109.318,36.26
2021-04-30 20:10:00+00:00,109.313,109.313,109.293,109.3,93.47
2021-04-30 20:15:00+00:00,109.3,109.307,109.298,109.298,52.59
2021-04-30 20:20:00+00:00,109.298,109.298,109.29,109.29,60.83
2021-04-30 20:25:00+00:00,109.29,109.313,109.289,109.309,61.95
2021-04-30 20:30:00+00:00,109.305,109.322,109.302,109.32,91.37
2021-04-30 20:35:00+00:00,109.32,109.32,109.307,109.318,133.98
2021-04-30 20:40:00+00:00,109.319,109.333,109.319,109.322,71.94
2021-04-30 20:45:00+00:00,109.322,109.338,109.319,109.337,99.54
2021-04-30 20:50:00+00:00,109.337,109.34,109.32,109.328,326.19
2021-04-30 20:55:00+00:00,109.329,109.364,109.294,109.296,442.56
2021-05-02 21:00:00+00:00,109.283,109.288,109.283,109.288,2.95
2021-05-02 21:05:00+00:00,109.288,109.288,109.288,109.288,3.24
2021-05-02 21:10:00+00:00,109.288,109.288,109.288,109.288,2.12
2021-05-02 21:15:00+00:00,109.288,109.29,109.288,109.29,4.7
2021-05-02 21:20:00+00:00,109.29,109.29,109.289,109.29,8.34
2021-05-02 21:25:00+00:00,109.29,109.293,109.29,109.291,12.52
2021-05-02 21:30:00+00:00,109.292,109.296,109.282,109.282,15.88
2021-05-02 21:35:00+00:00,109.282,109.292,109.282,109.282,12.72
2021-05-02 21:40:00+00:00,109.282,109.282,109.274,109.274,5.35
2021-05-02 21:45:00+00:00,109.274,109.275,109.272,109.275,8.22
2021-05-02 21:50:00+00:00,109.274,109.279,109.273,109.279,23.3
2021-05-02 21:55:00+00:00,109.275,109.281,109.273,109.276,33.33
2021-05-02 22:00:00+00:00,109.282,109.353,109.282,109.343,190.58
2021-05-02 22:05:00+00:00,109.342,109.344,109.335,109.335,71.61
2021-05-02 22:10:00+00:00,109.336,109.34,109.326,109.334,96.56
2021-05-02 22:15:00+00:00,109.333,109.337,109.322,109.328,73.32
2021-05-02 22:20:00+00:00,109.328,109.34,109.328,109.334,58.39
2021-05-02 22:25:00+00:00,109.334,109.336,109.328,109.33,45.74
2021-05-02 22:30:00+00:00,109.33,109.334,109.308,109.309,196.24
2021-05-02 22:35:00+00:00,109.31,109.328,109.31,109.32,128.36
2021-05-02 22:40:00+00:00,109.32,109.324,109.319,109.319,36.3
2021-05-02 22:45:00+00:00,109.317,109.318,109.303,109.304,71.77
2021-05-02 22:50:00+00:00,109.303,109.31,109.303,109.306,35.37
2021-05-02 22:55:00+00:00,109.306,109.316,109.306,109.315,29.69
2021-05-02 23:00:00+00:00,109.315,109.323,109.31,109.313,92.43
2021-05-02 23:05:00+00:00,109.313,109.322,109.311,109.317,63.9
2021-05-02 23:10:00+00:00,109.318,109.32,109.304,109.305,91.34
2021-05-02 23:15:00+00:00,109.305,109.305,109.297,109.301,41.19
2021-05-02 23:20:00+00:00,109.302,109.302,109.297,109.298,27.88
2021-05-02 23:25:00+00:00,109.299,109.299,109.29,109.29,47.82
2021-05-02 23:30:00+00:00,109.291,109.302,109.287,109.298,73.07
2021-05-02 23:35:00+00:00,109.298,109.3,109.292,109.294,48.63
2021-05-02 23:40:00+00:00,109.294,109.294,109.287,109.287,82.47
2021-05-02 23:45:00+00:00,109.287,109.294,109.283,109.284,51.19
2021-05-02 23:50:00+00:00,109.284,109.287,109.278,109.287,22.27
2021-05-02 23:55:00+00:00,109.288,109.293,109.286,109.287,46.39
2021-05-03 00:00:00+00:00,109.285,109.4,109.285,109.377,470.56
2021-05-03 00:05:00+00:00,109.377,109.401,109.375,109.389,191.48
2021-05-03 00:10:00+00:00,109.388,109.393,109.361,109.375,280.61
2021-05-03 00:15:00+00:00,109.378,109.39,109.369,109.374,246.63
2021-05-03 00:20:00+00:00,109.377,109.377,109.343,109.345,339.49
2021-05-03 00:25:00+00:00,109.344,109.372,109.335,109.371,152.09
2021-05-03 00:30:00+00:00,109.37,109.387,109.356,109.374,113.06
2021-05-03 00:35:00+00:00,109.375,109.408,109.374,109.389,192.81
2021-05-03 00:40:00+00:00,109.389,109.412,109.385,109.393,228.59
2021-05-03 00:45:00+00:00,109.392,109.398,109.374,109.382,158.27
2021-05-03 00:50:00+00:00,109.381,109.384,109.345,109.345,159.63
2021-05-03 00:55:00+00:00,109.346,109.365,109.34,109.344,182.42
2021-05-03 01:00:00+00:00,109.342,109.347,109.319,109.334,242.57
2021-05-03 01:05:00+00:00,109.333,109.379,109.333,109.379,134.4
2021-05-03 01:10:00+00:00,109.378,109.391,109.373,109.391,136.99
2021-05-03 01:15:00+00:00,109.392,109.401,109.386,109.387,99.87
2021-05-03 01:20:00+00:00,109.386,109.396,109.372,109.395,155.18
2021-05-03 01:25:00+00:00,109.395,109.408,109.383,109.387,167.42
2021-05-03 01:30:00+00:00,109.389,109.396,109.379,109.39,94.46
2021-05-03 01:35:00+00:00,109.39,109.407,109.375,109.401,177.46
2021-05-03 01:40:00+00:00,109.401,109.43,109.395,109.4,251.24
2021-05-03 01:45:00+00:00,109.401,109.425,109.401,109.422,171.32
2021-05-03 01:50:00+00:00,109.423,109.437,109.406,109.418,127.51
2021-05-03 01:55:00+00:00,109.416,109.437,109.415,109.431,176.68
2021-05-03 02:00:00+00:00,109.43,109.444,109.422,109.443,315.28
2021-05-03 02:05:00+00:00,109.443,109.454,109.433,109.442,506.32
2021-05-03 02:10:00+00:00,109.441,109.454,109.434,109.446,482.38
2021-05-03 02:15:00+00:00,109.446,109.448,109.431,109.431,149.91
2021-05-03 02:20:00+00:00,109.431,109.444,109.426,109.444,41.05
2021-05-03 02:25:00+00:00,109.447,109.461,109.442,109.454,114.63
2021-05-03 02:30:00+00:00,109.453,109.477,109.447,109.471,337.42
2021-05-03 02:35:00+00:00,109.471,109.478,109.464,109.476,252.02
2021-05-03 02:40:00+00:00,109.474,109.494,109.471,109.491,96.31
2021-05-03 02:45:00+00:00,109.49,109.494,109.485,109.489,62.5
2021-05-03 02:50:00+00:00,109.489,109.49,109.486,109.489,39.85
2021-05-03 02:55:00+00:00,109.491,109.511,109.485,109.495,139.18
2021-05-03 03:00:00+00:00,109.497,109.519,109.496,109.513,198.79
2021-05-03 03:05:00+00:00,109.513,109.515,109.501,109.508,156.99
2021-05-03 03:10:00+00:00,109.507,109.523,109.506,109.523,148.29
2021-05-03 03:15:00+00:00,109.522,109.534,109.52,109.529,195.01
2021-05-03 03:20:00+00:00,109.531,109.535,109.525,109.533,90.78
2021-05-03 03:25:00+00:00,109.534,109.565,109.534,109.546,317.79
2021-05-03 03:30:00+00:00,109.544,109.555,109.537,109.554,270.46
2021-05-03 03:35:00+00:00,109.553,109.554,109.541,109.548,257.49
2021-05-03 03:40:00+00:00,109.549,109.552,109.536,109.544,239.79
2021-05-03 03:45:00+00:00,109.54,109.542,109.515,109.519,672.74
2021-05-03 03:50:00+00:00,109.52,109.548,109.517,109.545,441.23
2021-05-03 03:55:00+00:00,109.544,109.547,109.537,109.546,152.82
2021-05-03 04:00:00+00:00,109.545,109.575,109.545,109.57,148.89
2021-05-03 04:05:00+00:00,109.569,109.581,109.555,109.576,483.95
2021-05-03 04:10:00+00:00,109.576,109.586,109.572,109.577,243.02
2021-05-03 04:15:00+00:00,109.577,109.577,109.55,109.556,303.82
2021-05-03 04:20:00+00:00,109.556,109.584,109.551,109.582,423.27
2021-05-03 04:25:00+00:00,109.581,109.588,109.573,109.587,189.93
2021-05-03 04:30:00+00:00,109.588,109.588,109.579,109.588,69.13
2021-05-03 04:35:00+00:00,109.589,109.589,109.575,109.58,82.8
2021-05-03 04:40:00+00:00,109.581,109.588,109.581,109.587,29.21
2021-05-03 04:45:00+00:00,109.586,109.587,109.577,109.579,61.78
2021-05-03 04:50:00+00:00,109.578,109.586,109.578,109.578,40.5
2021-05-03 04:55:00+00:00,109.578,109.584,109.569,109.582,92.81
2021-05-03 05:00:00+00:00,109.582,109.589,109.576,109.584,142.3
2021-05-03 05:05:00+00:00,109.582,109.584,109.574,109.579,57.22
2021-05-03 05:10:00+00:00,109.577,109.579,109.57,109.579,67.8
2021-05-03 05:15:00+00:00,109.58,109.595,109.58,109.594,130.71
2021-05-03 05:20:00+00:00,109.592,109.625,109.59,109.622,114.26
2021-05-03 05:25:00+00:00,109.619,109.64,109.614,109.634,139.63
2021-05-03 05:30:00+00:00,109.633,109.66,109.63,109.648,194.51
2021-05-03 05:35:00+00:00,109.649,109.65,109.631,109.632,107.76
2021-05-03 05:40:00+00:00,109.631,109.632,109.611,109.619,146.89
2021-05-03 05:45:00+00:00,109.62,109.647,109.62,109.634,134.77
2021-05-03 05:50:00+00:00,109.634,109.634,109.622,109.626,75.07
2021-05-03 05:55:00+00:00,109.624,109.635,109.624,109.627,88.8
2021-05-03 06:00:00+00:00,109.63,109.654,109.628,109.645,275.86
2021-05-03 06:05:00+00:00,109.648,109.659,109.624,109.638,175.74
2021-05-03 06:10:00+00:00,109.637,109.637,109.618,109.619,157.6
2021-05-03 06:15:00+00:00,109.62,109.628,109.583,109.589,274.73
