datetime_utc,open,high,low,close,volume
2023-11-30 15:00:00+00:00,148.366,148.381,148.26,148.298,4731.39
2023-11-30 15:05:00+00:00,148.3,148.386,148.269,148.386,5202.32
2023-11-30 15:10:00+00:00,148.384,148.397,148.265,148.32,5041.2
2023-11-30 15:15:00+00:00,148.321,148.395,148.267,148.39,3662.38
2023-11-30 15:20:00+00:00,148.391,148.427,148.214,148.276,4344.45
2023-11-30 15:25:00+00:00,148.275,148.357,148.229,148.311,4544.15
2023-11-30 15:30:00+00:00,148.31,148.316,148.176,148.177,5931.89
2023-11-30 15:35:00+00:00,148.177,148.277,148.127,148.237,5872.32
2023-11-30 15:40:00+00:00,148.236,148.273,148.068,148.069,6195.13
2023-11-30 15:45:00+00:00,148.069,148.108,148.05,148.107,5031.91
2023-11-30 15:50:00+00:00,148.108,148.108,147.987,147.999,4424.22
2023-11-30 15:55:00+00:00,148.0,148.0,147.8,147.832,6792.87
2023-11-30 16:00:00+00:00,147.833,147.898,147.72,147.87,6556.98
2023-11-30 16:05:00+00:00,147.869,147.912,147.82,147.895,3924.15
2023-11-30 16:10:00+00:00,147.896,147.896,147.81,147.818,3584.4
2023-11-30 16:15:00+00:00,147.821,147.947,147.818,147.943,2867.68
2023-11-30 16:20:00+00:00,147.945,147.956,147.847,147.86,3672.5
2023-11-30 16:25:00+00:00,147.86,147.886,147.806,147.807,3238.05
2023-11-30 16:30:00+00:00,147.807,147.921,147.77,147.881,3359.2
2023-11-30 16:35:00+00:00,147.883,147.918,147.872,147.899,2478.49
2023-11-30 16:40:00+00:00,147.899,147.914,147.867,147.913,2728.48
2023-11-30 16:45:00+00:00,147.912,147.934,147.833,147.837,2909.12
2023-11-30 16:50:00+00:00,147.837,147.872,147.813,147.867,3316.13
2023-11-30 16:55:00+00:00,147.865,147.899,147.849,147.868,2719.97
2023-11-30 17:00:00+00:00,147.868,147.869,147.804,147.868,2259.82
2023-11-30 17:05:00+00:00,147.87,147.939,147.858,147.925,1462.35
2023-11-30 17:10:00+00:00,147.923,147.933,147.901,147.923,1013.8
2023-11-30 17:15:00+00:00,147.924,147.989,147.922,147.967,1134.97
2023-11-30 17:20:00+00:00,147.969,147.984,147.959,147.982,1014.99
2023-11-30 17:25:00+00:00,147.983,148.005,147.963,147.987,577.96
2023-11-30 17:30:00+00:00,147.987,148.064,147.982,148.064,972.32
2023-11-30 17:35:00+00:00,148.064,148.07,148.035,148.047,765.53
2023-11-30 17:40:00+00:00,148.048,148.068,148.044,148.058,592.07
2023-11-30 17:45:00+00:00,148.061,148.105,148.059,148.103,829.15
