datetime_utc,open,high,low,close,volume
2021-01-31 22:00:00+00:00,104.776,104.781,104.77,104.78,15.0
2021-01-31 22:05:00+00:00,104.781,104.789,104.764,104.769,65.64
2021-01-31 22:10:00+00:00,104.778,104.778,104.769,104.774,24.36
2021-01-31 22:15:00+00:00,104.774,104.776,104.769,104.772,86.75
2021-01-31 22:20:00+00:00,104.774,104.775,104.771,104.774,62.26
2021-01-31 22:25:00+00:00,104.773,104.783,104.768,104.774,82.85
2021-01-31 22:30:00+00:00,104.776,104.811,104.773,104.789,204.44
2021-01-31 22:35:00+00:00,104.79,104.791,104.781,104.781,172.95
2021-01-31 22:40:00+00:00,104.784,104.802,104.782,104.795,605.07
2021-01-31 22:45:00+00:00,104.795,104.795,104.794,104.795,6.0
2021-01-31 22:50:00+00:00,104.794,104.815,104.793,104.808,394.1
2021-01-31 22:55:00+00:00,104.808,104.808,104.786,104.793,633.58
2021-01-31 23:00:00+00:00,104.794,104.796,104.724,104.769,1034.16
2021-01-31 23:05:00+00:00,104.769,104.795,104.762,104.781,376.79
2021-01-31 23:10:00+00:00,104.782,104.795,104.768,104.792,206.72
2021-01-31 23:15:00+00:00,104.791,104.791,104.772,104.774,220.93
2021-01-31 23:20:00+00:00,104.774,104.775,104.762,104.763,108.15
2021-01-31 23:25:00+00:00,104.768,104.768,104.734,104.756,116.55
2021-01-31 23:30:00+00:00,104.757,104.759,104.705,104.714,326.74
2021-01-31 23:35:00+00:00,104.713,104.715,104.679,104.691,390.94
2021-01-31 23:40:00+00:00,104.693,104.715,104.69,104.696,280.22
2021-01-31 23:45:00+00:00,104.697,104.704,104.69,104.702,190.43
2021-01-31 23:50:00+00:00,104.703,104.716,104.703,104.707,151.78
2021-01-31 23:55:00+00:00,104.707,104.722,104.68,104.717,294.62
2021-02-01 00:00:00+00:00,104.715,104.754,104.703,104.715,548.96
2021-02-01 00:05:00+00:00,104.716,104.722,104.688,104.718,363.59
2021-02-01 00:10:00+00:00,104.72,104.742,104.715,104.725,339.83
2021-02-01 00:15:00+00:00,104.724,104.739,104.712,104.717,346.54
2021-02-01 00:20:00+00:00,104.716,104.733,104.707,104.708,317.6
2021-02-01 00:25:00+00:00,104.708,104.723,104.699,104.699,321.53
2021-02-01 00:30:00+00:00,104.698,104.707,104.688,104.695,309.34
2021-02-01 00:35:00+00:00,104.694,104.694,104.674,104.688,284.73
2021-02-01 00:40:00+00:00,104.689,104.701,104.686,104.689,196.7
2021-02-01 00:45:00+00:00,104.688,104.693,104.669,104.671,170.6
2021-02-01 00:50:00+00:00,104.671,104.696,104.664,104.689,306.12
2021-02-01 00:55:00+00:00,104.686,104.691,104.67,104.682,244.69
2021-02-01 01:00:00+00:00,104.682,104.69,104.658,104.665,343.48
2021-02-01 01:05:00+00:00,104.664,104.677,104.647,104.67,221.03
2021-02-01 01:10:00+00:00,104.668,104.686,104.668,104.682,176.68
2021-02-01 01:15:00+00:00,104.682,104.682,104.631,104.631,381.59
2021-02-01 01:20:00+00:00,104.632,104.65,104.619,104.638,382.73
2021-02-01 01:25:00+00:00,104.639,104.649,104.608,104.619,248.03
2021-02-01 01:30:00+00:00,104.62,104.649,104.619,104.647,239.88
2021-02-01 01:35:00+00:00,104.649,104.665,104.642,104.659,188.74
2021-02-01 01:40:00+00:00,104.659,104.67,104.647,104.659,188.65
2021-02-01 01:45:00+00:00,104.659,104.67,104.657,104.662,267.71
2021-02-01 01:50:00+00:00,104.663,104.668,104.649,104.665,264.53
2021-02-01 01:55:00+00:00,104.665,104.692,104.664,104.691,247.02
2021-02-01 02:00:00+00:00,104.688,104.693,104.669,104.686,225.79
2021-02-01 02:05:00+00:00,104.687,104.702,104.687,104.696,110.65
2021-02-01 02:10:00+00:00,104.696,104.702,104.682,104.691,156.7
2021-02-01 02:15:00+00:00,104.69,104.703,104.687,104.691,109.29
2021-02-01 02:20:00+00:00,104.691,104.709,104.679,104.708,178.4
2021-02-01 02:25:00+00:00,104.708,104.725,104.704,104.719,103.03
2021-02-01 02:30:00+00:00,104.719,104.723,104.709,104.718,136.49
2021-02-01 02:35:00+00:00,104.717,104.722,104.705,104.71,185.71
2021-02-01 02:40:00+00:00,104.71,104.719,104.706,104.713,167.99
2021-02-01 02:45:00+00:00,104.713,104.726,104.71,104.723,176.56
2021-02-01 02:50:00+00:00,104.722,104.725,104.712,104.719,123.51
2021-02-01 02:55:00+00:00,104.718,104.728,104.717,104.723,92.83
2021-02-01 03:00:00+00:00,104.722,104.723,104.711,104.711,101.97
2021-02-01 03:05:00+00:00,104.712,104.712,104.694,104.699,93.96
2021-02-01 03:10:00+00:00,104.7,104.7,104.691,104.699,64.05
2021-02-01 03:15:00+00:00,104.696,104.7,104.689,104.689,134.33
2021-02-01 03:20:00+00:00,104.685,104.689,104.676,104.679,168.37
2021-02-01 03:25:00+00:00,104.678,104.68,104.67,104.679,154.89
2021-02-01 03:30:00+00:00,104.68,104.68,104.671,104.674,102.06
2021-02-01 03:35:00+00:00,104.673,104.702,104.673,104.689,115.74
2021-02-01 03:40:00+00:00,104.689,104.695,104.678,104.679,156.12
2021-02-01 03:45:00+00:00,104.68,104.689,104.68,104.684,83.29
2021-02-01 03:50:00+00:00,104.684,104.689,104.675,104.678,64.19
2021-02-01 03:55:00+00:00,104.68,104.686,104.677,104.684,134.01
2021-02-01 04:00:00+00:00,104.683,104.689,104.678,104.685,112.8
2021-02-01 04:05:00+00:00,104.684,104.69,104.68,104.686,84.08
2021-02-01 04:10:00+00:00,104.685,104.685,104.663,104.667,143.67
