戦略,利確pips,損切りpips,時間帯,曜日,ボラ条件,トレンド条件,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"RSI逆張り(25,75)",15,20,全時間,全曜日,なし,レンジのみ,621,1.3,55.6,-337.6,14.34,-19.15,0.936,-545.0,6,234,1.3,63.2,473.6,14.55,-19.54,1.282,-145.0,4,1.37,82.5,要注意
トレンド押し目(EMA200+RSI40/60),8,5,ロンドン(16-21時),全曜日,なし,トレンド順方向のみ,516,1.3,34.5,-266.0,8.0,-5.0,0.843,-284.0,13,194,1.3,45.9,187.0,8.0,-5.0,1.356,-58.0,10,1.5,82.4,要注意
"MACDクロス(12,26,9)",15,5,22時台,全曜日,なし,トレンド順方向のみ,301,1.1,25.6,-82.2,13.32,-4.95,0.926,-284.4,14,121,1.1,33.1,184.6,14.7,-4.98,1.458,-55.0,9,1.5,82.3,要注意
"EMAクロス(5,20)",5,15,東京(9-15時),全曜日,なし,レンジのみ,910,1.5,73.5,-265.3,4.99,-14.96,0.926,-339.6,4,330,1.6,78.5,230.0,5.0,-15.0,1.216,-130.0,4,1.313,82.2,要注意
"EMAクロス(10,50)",5,10,16時台,全曜日,なし,なし,355,1.1,68.2,87.2,4.99,-9.92,1.078,-101.0,5,135,1.1,70.4,75.0,5.0,-10.0,1.188,-40.0,3,1.102,82.1,採用候補
"MACDクロス(12,26,9)",5,20,9時台,全曜日,なし,上昇トレンドのみ,304,1.1,78.6,-95.8,5.0,-19.86,0.926,-210.0,3,114,1.1,83.3,95.0,5.0,-20.0,1.25,-90.0,3,1.35,81.9,要注意
トレンド押し目(EMA200+RSI40/60),8,15,ロンドン(16-21時),全曜日,なし,なし,860,1.3,59.8,-993.1,7.97,-14.71,0.805,-1096.6,6,331,1.4,69.8,348.0,8.0,-15.0,1.232,-151.0,5,1.5,81.7,要注意
"EMAクロス(5,20)",8,20,16時台,全曜日,なし,なし,592,1.1,67.4,-544.8,7.96,-19.27,0.854,-636.1,4,243,1.1,72.8,146.8,7.94,-19.06,1.117,-108.0,3,1.308,81.6,要注意
トレンド押し目(EMA200+RSI40/60),8,5,16時台,全曜日,なし,なし,335,1.3,34.6,-167.0,8.0,-5.0,0.847,-212.0,9,120,1.3,44.2,89.0,8.0,-5.0,1.266,-49.0,6,1.495,81.6,要注意
"RSI逆張り(25,75)",8,20,全時間,全曜日,なし,レンジのみ,633,1.3,71.1,94.4,7.96,-19.07,1.027,-333.7,5,235,1.3,74.9,268.0,8.0,-19.32,1.235,-124.0,4,1.203,81.4,要注意
"RSI逆張り(25,75)",20,15,全時間,全曜日,なし,レンジのみ,640,1.3,42.7,-369.9,18.35,-14.66,0.931,-507.2,7,244,1.3,51.2,609.7,18.95,-14.78,1.347,-165.0,5,1.447,81.3,要注意
トレンド押し目(EMA200+RSI40/60),15,20,ロンドン(16-21時),全曜日,なし,レンジのみ,441,1.1,54.6,-217.9,14.47,-18.53,0.941,-409.4,6,160,1.2,61.9,296.9,14.79,-19.13,1.254,-140.0,4,1.333,81.2,要注意
"EMAクロス(5,20)",8,20,東京(9-15時),全曜日,なし,レンジのみ,797,1.4,68.3,-661.1,7.97,-19.74,0.868,-807.6,8,290,1.4,73.1,153.7,8.0,-19.77,1.1,-112.0,3,1.267,81.1,要注意
トレンド押し目(EMA200+RSI40/60),8,20,ロンドン(16-21時),全曜日,なし,レンジのみ,465,1.2,66.7,-478.5,7.99,-19.07,0.838,-611.3,4,172,1.3,74.4,149.3,8.0,-19.88,1.171,-132.0,3,1.397,81.0,要注意
トレンド押し目(EMA200+RSI40/60),8,5,ロンドン(16-21時),全曜日,なし,なし,1122,1.8,34.6,-566.0,8.0,-5.0,0.846,-598.0,12,414,1.8,43.5,270.0,8.0,-5.0,1.231,-102.0,8,1.455,81.0,要注意
トレンド押し目(EMA200+RSI40/60),5,5,ロンドン(16-21時),全曜日,なし,上昇トレンドのみ,304,1.3,46.7,-100.0,5.0,-5.0,0.877,-160.0,7,112,1.3,57.1,80.0,5.0,-5.0,1.333,-50.0,7,1.5,81.0,要注意
トレンド押し目(EMA200+RSI40/60),8,10,ロンドン(16-21時),全曜日,なし,なし,941,1.5,52.3,-555.0,7.98,-9.98,0.876,-631.0,9,359,1.6,61.3,370.0,8.0,-10.0,1.266,-144.0,6,1.445,80.9,要注意
トレンド押し目(EMA200+RSI40/60),10,10,ロンドン(16-21時),全曜日,なし,トレンド順方向のみ,465,1.2,48.8,-135.6,9.86,-9.97,0.943,-348.8,9,176,1.2,56.2,226.7,9.97,-9.88,1.298,-90.0,7,1.376,80.9,要注意
"MACDクロス(12,26,9)",10,20,ロンドン(16-21時),全曜日,なし,トレンド順方向のみ,1104,1.4,63.2,-795.7,9.85,-18.9,0.896,-1060.1,7,427,1.5,69.1,450.8,9.96,-18.85,1.181,-150.0,5,1.318,80.8,要注意
トレンド押し目(EMA200+RSI40/60),10,5,16時台,全曜日,なし,なし,335,1.3,31.6,-85.0,10.0,-5.0,0.926,-190.0,11,119,1.3,38.7,95.0,10.0,-5.0,1.26,-55.0,6,1.361,80.8,要注意
"MACDクロス(12,26,9)",5,20,ロンドン(16-21時),全曜日,なし,レンジのみ,894,1.5,77.3,-412.8,5.0,-19.05,0.893,-531.7,3,350,1.6,81.7,170.8,4.99,-19.63,1.136,-150.0,3,1.272,80.7,要注意
"MACDクロス(12,26,9)",8,20,ロンドン(16-21時),全曜日,なし,レンジのみ,819,1.4,68.1,-482.1,7.95,-18.85,0.902,-742.3,4,317,1.5,72.6,165.5,7.95,-19.12,1.1,-104.0,4,1.22,80.5,要注意
トレンド押し目(EMA200+RSI40/60),15,10,ロンドン(16-21時),全曜日,なし,レンジのみ,504,1.3,39.7,-78.9,14.7,-9.93,0.974,-292.4,12,189,1.4,48.7,412.7,14.93,-9.91,1.43,-105.0,9,1.468,80.5,要注意
"MACDクロス(12,26,9)",20,5,22時台,全曜日,なし,トレンド順方向のみ,301,1.1,23.9,-5.6,15.65,-4.95,0.995,-201.8,14,121,1.1,27.3,189.3,19.02,-4.98,1.432,-55.0,12,1.439,80.4,要注意
トレンド押し目(EMA200+RSI40/60),5,15,ロンドン(16-21時),全曜日,なし,なし,905,1.4,69.9,-877.7,5.0,-14.86,0.783,-987.7,5,344,1.5,77.0,140.0,5.0,-15.0,1.118,-105.0,5,1.428,80.4,要注意
"MACDクロス(12,26,9)",10,20,ロンドン(16-21時),全曜日,なし,レンジのみ,792,1.4,64.0,-264.5,9.94,-18.61,0.95,-610.2,5,305,1.4,68.9,265.7,9.92,-19.13,1.146,-130.0,4,1.206,80.4,要注意
"EMAクロス(10,50)",8,5,10時台,全曜日,なし,なし,349,1.1,37.2,-55.0,8.0,-5.0,0.95,-189.0,17,123,1.2,42.3,61.0,8.0,-5.0,1.172,-36.0,5,1.234,80.3,要注意
"RSI逆張り(30,70)",15,15,東京(9-15時),全曜日,なし,上昇トレンドのみ,650,1.5,47.2,-544.0,14.89,-14.92,0.894,-611.2,11,268,1.6,53.7,304.8,14.94,-14.89,1.165,-105.0,6,1.303,80.3,要注意
トレンド押し目(EMA200+RSI40/60),10,5,ロンドン(16-21時),全曜日,なし,なし,1119,1.7,30.7,-466.1,9.95,-5.0,0.88,-546.1,15,413,1.8,38.7,335.0,10.0,-5.0,1.265,-115.0,9,1.437,80.2,要注意
"RSI逆張り(30,70)",20,10,10時台,全曜日,なし,なし,471,1.2,30.4,-453.3,19.71,-9.98,0.861,-571.6,12,194,1.2,38.1,273.5,19.8,-9.93,1.229,-116.5,6,1.427,80.2,要注意
"EMAクロス(5,20)",8,20,ロンドン(16-21時),全曜日,なし,レンジのみ,559,1.2,67.6,-402.9,7.92,-18.77,0.881,-463.4,4,230,1.3,73.5,173.3,7.93,-19.12,1.149,-124.6,4,1.304,80.2,要注意
"RSI逆張り(30,70)",15,20,東京(9-15時),全曜日,なし,レンジのみ,468,1.2,57.1,42.4,14.84,-19.51,1.011,-290.0,7,178,1.2,60.7,231.9,14.79,-19.5,1.17,-130.0,3,1.157,80.2,要注意
トレンド押し目(EMA200+RSI40/60),5,10,ロンドン(16-21時),全曜日,なし,レンジのみ,540,1.4,62.0,-371.7,5.0,-9.98,0.818,-446.7,6,194,1.4,69.1,70.0,5.0,-10.0,1.117,-80.0,4,1.366,80.2,要注意
"RSI逆張り(30,70)",5,15,10時台,全曜日,なし,なし,452,1.1,75.0,10.1,5.0,-14.91,1.006,-190.0,5,186,1.2,77.4,90.0,5.0,-15.0,1.143,-85.0,3,1.136,80.1,要注意
"RSI逆張り(30,70)",15,5,10時台,全曜日,なし,なし,501,1.2,24.0,-109.1,14.97,-5.0,0.943,-284.1,21,203,1.3,32.5,295.4,14.85,-5.0,1.431,-90.0,18,1.5,80.0,要注意
"RSI逆張り(30,70)",10,15,10時台,全曜日,なし,なし,444,1.1,57.9,-212.0,10.0,-14.88,0.924,-267.0,6,182,1.1,63.2,145.0,10.0,-15.0,1.144,-105.0,4,1.238,79.9,要注意
"MACDクロス(12,26,9)",5,15,ロンドン(16-21時),全曜日,なし,下降トレンドのみ,1053,2.2,73.3,-331.0,5.0,-14.91,0.921,-439.2,4,409,2.3,77.3,192.4,5.0,-14.92,1.139,-180.0,3,1.237,79.8,要注意
"RSI逆張り(30,70)",5,20,10時台,全曜日,なし,なし,439,1.1,78.8,-100.6,5.0,-19.68,0.945,-255.0,5,181,1.1,81.8,80.0,5.0,-20.0,1.121,-90.0,3,1.186,79.8,要注意
トレンド押し目(EMA200+RSI40/60),15,15,ロンドン(16-21時),全曜日,なし,なし,807,1.3,47.2,-713.2,14.39,-14.55,0.885,-937.8,8,310,1.3,54.5,452.5,14.75,-14.48,1.222,-180.0,5,1.381,79.8,要注意
トレンド押し目(EMA200+RSI40/60),10,10,ロンドン(16-21時),全曜日,なし,なし,931,1.5,48.2,-354.5,9.91,-9.97,0.926,-507.7,9,354,1.5,56.8,486.7,9.99,-9.94,1.32,-160.0,7,1.425,79.8,要注意
"RSI逆張り(30,70)",20,20,東京(9-15時),全曜日,なし,レンジのみ,463,1.2,49.2,-132.1,19.59,-19.56,0.971,-462.5,8,177,1.2,53.7,246.0,19.49,-19.58,1.153,-120.0,4,1.187,79.6,要注意
トレンド押し目(EMA200+RSI40/60),10,10,ロンドン(16-21時),全曜日,なし,レンジのみ,516,1.3,47.5,-266.7,9.91,-9.95,0.901,-397.7,7,190,1.4,57.4,280.0,10.0,-10.0,1.346,-110.0,9,1.494,79.6,要注意
