戦略,利確pips,損切りpips,時間帯,曜日,ボラ条件,トレンド条件,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"EMAクロス(10,50)",15,20,東京(9-15時),全曜日,なし,下降トレンドのみ,417,1.2,59.7,426.2,14.7,-19.25,1.132,-270.0,4,152,1.2,61.2,210.4,14.86,-19.85,1.18,-246.3,5,1.042,71.3,採用候補
"MACDクロス(12,26,9)",10,10,9時台,全曜日,なし,レンジのみ,351,1.2,52.1,133.6,9.89,-9.98,1.08,-137.1,10,117,1.2,53.8,90.0,10.0,-10.0,1.167,-130.0,7,1.081,70.8,採用候補
"EMAクロス(5,20)",20,15,9時台,全曜日,なし,なし,674,1.1,45.3,487.5,19.55,-14.83,1.089,-334.9,9,263,1.2,45.2,223.8,19.89,-14.88,1.104,-175.0,7,1.014,70.3,採用候補
"EMAクロス(10,50)",10,10,16時台,全曜日,なし,なし,354,1.1,53.7,258.3,9.94,-9.95,1.158,-190.0,7,134,1.1,53.0,66.4,9.81,-10.0,1.105,-100.0,5,0.954,70.0,採用候補
"MACDクロス(12,26,9)",20,10,9時台,全曜日,なし,なし,909,1.2,37.3,1015.4,19.75,-9.96,1.179,-220.0,11,347,1.3,36.9,373.0,20.0,-9.99,1.171,-220.0,8,0.993,69.8,採用候補
"MACDクロス(12,26,9)",20,5,16時台,全曜日,なし,トレンド順方向のみ,313,1.1,23.3,198.1,19.15,-5.0,1.165,-185.0,24,108,1.1,23.1,64.4,19.18,-5.0,1.155,-85.0,9,0.991,68.4,採用候補
"EMAクロス(5,20)",10,10,21時台,全曜日,なし,上昇トレンドのみ,312,1.2,55.1,288.2,9.62,-9.76,1.211,-130.0,8,117,1.1,53.0,69.4,9.77,-9.75,1.129,-91.4,7,0.932,67.5,採用候補
"RSI逆張り(30,70)",20,20,ロンドン(16-21時),全曜日,なし,下降トレンドのみ,375,1.4,52.5,307.1,19.03,-19.33,1.089,-274.5,6,143,1.4,52.4,135.2,19.51,-19.53,1.102,-224.2,6,1.012,67.5,採用候補
"EMAクロス(10,50)",20,10,16時台,全曜日,なし,なし,354,1.1,37.3,307.7,19.08,-9.96,1.139,-170.0,12,134,1.1,38.1,128.6,18.8,-10.0,1.155,-160.0,10,1.014,67.4,採用候補
"MACDクロス(12,26,9)",15,10,9時台,全曜日,なし,なし,914,1.2,44.2,919.3,14.89,-9.99,1.18,-235.0,11,349,1.3,42.7,238.0,15.0,-9.99,1.119,-240.0,7,0.948,67.3,採用候補
"RSI逆張り(30,70)",10,5,9時台,全曜日,なし,なし,565,1.3,35.6,190.0,10.0,-5.0,1.104,-175.0,11,205,1.3,35.6,70.0,10.0,-5.0,1.106,-115.0,12,1.002,67.1,採用候補
"EMAクロス(10,50)",15,10,東京(9-15時),全曜日,なし,下降トレンドのみ,483,1.4,41.4,182.9,14.93,-9.91,1.065,-230.0,7,179,1.4,43.0,139.3,15.0,-9.96,1.137,-235.7,12,1.068,66.3,採用候補
"EMAクロス(10,50)",20,15,16時台,全曜日,なし,なし,336,1.1,47.0,403.1,19.0,-14.6,1.155,-160.0,7,126,1.1,46.8,104.8,18.73,-14.93,1.105,-130.0,8,0.957,66.3,採用候補
"EMAクロス(10,50)",15,15,東京(9-15時),全曜日,なし,下降トレンドのみ,446,1.3,52.9,409.0,14.83,-14.71,1.132,-210.0,6,162,1.2,53.7,166.7,14.85,-15.0,1.148,-240.0,11,1.014,65.5,採用候補
トレンド押し目(EMA200+RSI40/60),20,5,21時台,全曜日,なし,なし,322,1.2,23.9,191.1,18.32,-4.98,1.157,-115.4,14,116,1.2,22.4,47.5,19.0,-4.96,1.106,-105.0,14,0.956,63.1,採用候補
