entry_time,exit_time,side,pnl_pips,exit_reason
2021-01-04 10:25:00,2021-01-04 10:40:00,買い,-5.0,損切り
2021-01-05 10:50:00,2021-01-05 12:10:00,買い,-5.0,損切り
2021-01-07 10:00:00,2021-01-07 10:25:00,買い,8.0,利確
2021-01-21 10:05:00,2021-01-21 13:00:00,売り,8.0,利確
2021-02-01 10:50:00,2021-02-01 16:55:00,買い,8.0,利確
2021-02-02 10:05:00,2021-02-02 11:30:00,売り,-5.0,損切り
2021-02-08 10:40:00,2021-02-08 17:15:00,売り,-5.0,損切り
2021-02-19 10:00:00,2021-02-19 11:05:00,売り,-5.0,損切り
2021-02-26 10:45:00,2021-02-26 11:00:00,売り,8.0,利確
2021-03-01 10:00:00,2021-03-01 10:25:00,買い,8.0,利確
2021-03-03 10:15:00,2021-03-03 10:15:00,売り,-5.0,損切り
2021-03-03 10:20:00,2021-03-03 12:40:00,買い,8.0,利確
2021-03-05 10:50:00,2021-03-05 13:00:00,買い,8.0,利確
2021-03-10 10:25:00,2021-03-10 10:40:00,買い,8.0,利確
2021-03-29 10:20:00,2021-03-29 10:40:00,買い,-5.0,損切り
2021-03-29 10:45:00,2021-03-29 11:10:00,売り,8.0,利確
2021-04-06 10:35:00,2021-04-06 11:20:00,売り,-5.0,損切り
2021-04-07 10:00:00,2021-04-07 10:05:00,売り,8.0,利確
2021-05-04 10:20:00,2021-05-04 10:55:00,買い,8.0,利確
2021-05-07 10:50:00,2021-05-07 11:05:00,売り,-5.0,損切り
2021-05-21 10:00:00,2021-05-21 13:35:00,売り,8.0,利確
2021-05-26 10:00:00,2021-05-26 13:00:00,売り,-5.0,損切り
2021-06-03 10:10:00,2021-06-03 10:30:00,買い,-5.0,損切り
2021-06-03 10:35:00,2021-06-03 10:50:00,売り,-5.0,損切り
2021-06-07 10:15:00,2021-06-07 11:20:00,買い,-5.0,損切り
2021-06-08 10:50:00,2021-06-08 14:25:00,売り,-5.0,損切り
2021-06-11 10:25:00,2021-06-11 14:20:00,売り,-5.0,損切り
2021-06-18 10:10:00,2021-06-18 10:50:00,売り,8.0,利確
2021-06-21 10:00:00,2021-06-21 10:05:00,買い,-5.0,損切り
2021-06-21 10:10:00,2021-06-21 11:00:00,売り,8.0,利確
2021-06-22 10:55:00,2021-06-22 11:15:00,買い,8.0,利確
2021-06-30 10:05:00,2021-06-30 10:40:00,売り,8.0,利確
2021-07-09 10:05:00,2021-07-09 10:45:00,売り,8.0,利確
2021-07-12 10:55:00,2021-07-12 15:45:00,買い,8.0,利確
2021-07-20 10:05:00,2021-07-20 10:10:00,買い,-5.0,損切り
2021-07-20 10:20:00,2021-07-20 11:05:00,売り,-5.0,損切り
2021-07-22 10:45:00,2021-07-22 11:05:00,買い,-5.0,損切り
2021-07-28 10:20:00,2021-07-28 11:10:00,売り,8.0,利確
2021-07-30 10:45:00,2021-07-30 12:00:00,売り,-5.0,損切り
2021-08-02 10:15:00,2021-08-02 18:50:00,買い,-5.0,損切り
2021-08-13 10:05:00,2021-08-13 16:00:00,売り,8.0,利確
2021-08-18 10:45:00,2021-08-18 11:00:00,買い,-5.0,損切り
2021-08-24 10:25:00,2021-08-24 13:45:00,売り,-5.0,損切り
2021-09-06 10:20:00,2021-09-06 16:00:00,売り,-5.0,損切り
2021-09-16 10:00:00,2021-09-16 10:45:00,売り,8.0,利確
2021-09-21 10:35:00,2021-09-21 11:05:00,売り,8.0,利確
2021-09-27 10:05:00,2021-09-27 10:15:00,買い,-5.0,損切り
2021-09-27 10:20:00,2021-09-27 12:05:00,売り,8.0,利確
2021-09-30 10:05:00,2021-09-30 10:15:00,買い,-5.0,損切り
2021-09-30 10:25:00,2021-09-30 13:00:00,売り,-5.0,損切り
2021-10-21 10:10:00,2021-10-21 11:05:00,買い,-5.0,損切り
2021-10-25 10:55:00,2021-10-25 11:30:00,売り,-5.0,損切り
2021-10-27 10:05:00,2021-10-27 10:05:00,買い,-5.0,損切り
