variant,year,取引回数,総損益pips,PF,勝率%,期待値pips/回,平均利益pips,平均損失pips,最大DDpips,最大連敗,月プラス率%,最悪月pips,負け月数,利益年数,負け年数
exclude_thu_14h,2021,34,-14.7,0.957,50.0,-0.432,19.135,-20.0,-100.0,5,40.0,-40.0,5,0,1
exclude_thu_14h,2022,64,200.0,1.37,57.81,3.125,20.0,-20.0,-140.0,5,58.33,-60.0,4,1,0
exclude_thu_14h,2023,59,20.0,1.034,50.85,0.339,20.0,-20.0,-100.0,4,50.0,-80.0,4,1,0
exclude_thu_14h,2024,82,328.8,1.505,59.76,4.01,20.0,-19.733,-120.0,3,90.0,-80.0,1,1,0
exclude_thu_14h,2025,84,240.0,1.333,57.14,2.857,20.0,-20.0,-120.0,4,66.67,-40.0,2,1,0
exclude_thu_14h,2026,24,27.8,1.126,54.17,1.158,19.062,-20.0,-60.0,3,33.33,-20.0,2,1,0
