year,trades,pnl_pips,pf,expectancy,win_rate_pct,max_dd_pips,max_losing_streak
2021,41,30.7,1.081,0.749,53.7,-120.0,5
2022,96,-11.8,0.988,-0.123,50.0,-220.0,7
2023,94,200.0,1.238,2.128,55.3,-160.0,5
2024,129,28.8,1.023,0.223,50.4,-280.0,5
2025,127,420.0,1.396,3.307,58.3,-120.0,5
2026,33,114.0,1.438,3.455,60.6,-40.0,2
