gap_start,gap_end,gap_minutes,missing_bars,type
2022-02-18 21:55:00+00:00,2022-02-20 22:00:00+00:00,2885.0,576,週末休場(正常)
2022-02-25 21:55:00+00:00,2022-02-27 22:00:00+00:00,2885.0,576,週末休場(正常)
2022-03-04 21:55:00+00:00,2022-03-06 22:00:00+00:00,2885.0,576,週末休場(正常)
2022-03-11 21:55:00+00:00,2022-03-13 21:00:00+00:00,2825.0,564,週末休場(正常)
2022-03-18 20:55:00+00:00,2022-03-20 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-03-25 20:55:00+00:00,2022-03-27 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-04-01 20:55:00+00:00,2022-04-03 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-04-08 20:55:00+00:00,2022-04-10 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-04-15 20:55:00+00:00,2022-04-17 21:10:00+00:00,2895.0,578,週末休場(正常)
2022-04-22 20:55:00+00:00,2022-04-24 21:10:00+00:00,2895.0,578,週末休場(正常)
2022-04-29 20:55:00+00:00,2022-05-01 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-05-06 20:55:00+00:00,2022-05-08 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-05-13 20:55:00+00:00,2022-05-15 21:05:00+00:00,2890.0,577,週末休場(正常)
2022-05-20 20:55:00+00:00,2022-05-22 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-05-27 20:55:00+00:00,2022-05-29 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-06-03 20:55:00+00:00,2022-06-05 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-06-10 20:55:00+00:00,2022-06-12 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-06-17 20:55:00+00:00,2022-06-19 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-06-24 20:55:00+00:00,2022-06-26 21:30:00+00:00,2915.0,582,週末休場(正常)
2022-07-01 20:55:00+00:00,2022-07-03 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-07-08 20:55:00+00:00,2022-07-10 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-07-15 20:55:00+00:00,2022-07-17 21:05:00+00:00,2890.0,577,週末休場(正常)
2022-07-17 21:40:00+00:00,2022-07-17 21:50:00+00:00,10.0,1,要確認
2022-07-22 20:55:00+00:00,2022-07-24 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-07-29 20:55:00+00:00,2022-07-31 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-08-05 20:55:00+00:00,2022-08-07 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-08-12 20:55:00+00:00,2022-08-14 21:05:00+00:00,2890.0,577,週末休場(正常)
2022-08-19 20:55:00+00:00,2022-08-21 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-08-24 21:50:00+00:00,2022-08-24 22:00:00+00:00,10.0,1,要確認
2022-08-26 20:55:00+00:00,2022-08-28 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-09-02 20:55:00+00:00,2022-09-04 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-09-09 20:55:00+00:00,2022-09-11 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-09-16 20:55:00+00:00,2022-09-18 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-09-18 21:35:00+00:00,2022-09-18 21:45:00+00:00,10.0,1,要確認
2022-09-23 20:55:00+00:00,2022-09-25 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-09-30 20:55:00+00:00,2022-10-02 21:05:00+00:00,2890.0,577,週末休場(正常)
2022-10-07 20:55:00+00:00,2022-10-09 21:10:00+00:00,2895.0,578,週末休場(正常)
2022-10-09 21:10:00+00:00,2022-10-09 21:25:00+00:00,15.0,2,要確認
2022-10-09 21:35:00+00:00,2022-10-09 21:50:00+00:00,15.0,2,要確認
2022-10-13 20:55:00+00:00,2022-10-13 21:05:00+00:00,10.0,1,要確認
2022-10-14 20:55:00+00:00,2022-10-16 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-10-21 20:55:00+00:00,2022-10-23 21:05:00+00:00,2890.0,577,週末休場(正常)
2022-10-28 20:55:00+00:00,2022-10-30 21:00:00+00:00,2885.0,576,週末休場(正常)
2022-11-04 20:55:00+00:00,2022-11-06 22:00:00+00:00,2945.0,588,週末休場(正常)
2022-11-11 21:55:00+00:00,2022-11-13 22:00:00+00:00,2885.0,576,週末休場(正常)
2022-11-18 21:55:00+00:00,2022-11-20 22:00:00+00:00,2885.0,576,週末休場(正常)
2022-11-20 22:10:00+00:00,2022-11-20 22:20:00+00:00,10.0,1,要確認
2022-11-25 21:55:00+00:00,2022-11-27 22:00:00+00:00,2885.0,576,週末休場(正常)
2022-11-30 22:05:00+00:00,2022-11-30 22:15:00+00:00,10.0,1,要確認
2022-12-02 21:55:00+00:00,2022-12-04 22:00:00+00:00,2885.0,576,週末休場(正常)
2022-12-09 21:55:00+00:00,2022-12-11 22:00:00+00:00,2885.0,576,週末休場(正常)
2022-12-15 21:55:00+00:00,2022-12-15 22:05:00+00:00,10.0,1,要確認
2022-12-16 21:55:00+00:00,2022-12-18 22:00:00+00:00,2885.0,576,週末休場(正常)
2022-12-23 21:55:00+00:00,2022-12-25 22:00:00+00:00,2885.0,576,週末休場(正常)
2022-12-25 22:10:00+00:00,2022-12-25 22:20:00+00:00,10.0,1,要確認
2022-12-25 23:05:00+00:00,2022-12-25 23:15:00+00:00,10.0,1,要確認
2022-12-30 21:55:00+00:00,2023-01-01 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-01-01 22:50:00+00:00,2023-01-01 23:00:00+00:00,10.0,1,要確認
2023-01-02 03:15:00+00:00,2023-01-02 03:25:00+00:00,10.0,1,要確認
2023-01-06 21:55:00+00:00,2023-01-08 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-01-13 21:55:00+00:00,2023-01-15 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-01-20 21:55:00+00:00,2023-01-22 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-01-26 22:10:00+00:00,2023-01-26 22:20:00+00:00,10.0,1,要確認
2023-01-27 21:55:00+00:00,2023-01-29 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-01-31 22:05:00+00:00,2023-01-31 22:15:00+00:00,10.0,1,要確認
2023-02-03 21:55:00+00:00,2023-02-05 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-02-10 21:55:00+00:00,2023-02-12 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-02-17 21:55:00+00:00,2023-02-19 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-02-24 21:55:00+00:00,2023-02-26 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-03-03 21:55:00+00:00,2023-03-05 22:00:00+00:00,2885.0,576,週末休場(正常)
2023-03-10 21:55:00+00:00,2023-03-12 21:00:00+00:00,2825.0,564,週末休場(正常)
2023-03-17 20:55:00+00:00,2023-03-19 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-03-24 20:55:00+00:00,2023-03-26 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-03-31 20:55:00+00:00,2023-04-02 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-04-07 20:55:00+00:00,2023-04-09 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-04-09 21:20:00+00:00,2023-04-09 21:30:00+00:00,10.0,1,要確認
2023-04-09 21:35:00+00:00,2023-04-09 21:45:00+00:00,10.0,1,要確認
2023-04-14 20:55:00+00:00,2023-04-16 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-04-16 21:05:00+00:00,2023-04-16 21:15:00+00:00,10.0,1,要確認
2023-04-16 21:30:00+00:00,2023-04-16 21:40:00+00:00,10.0,1,要確認
2023-04-21 20:55:00+00:00,2023-04-23 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-04-28 20:55:00+00:00,2023-04-30 21:00:00+00:00,2885.0,576,週末休場(正常)
2023-05-04 20:55:00+00:00,2023-05-04 21:05:00+00:00,10.0,1,要確認
2023-05-05 20:55:00+00:00,2023-05-07 21:00:00+00:00,2885.0,576,週末休場(正常)
